epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,0.0,80.3684450785319,4.950324800279406,4.950324800279406,0.09999999999999999,0.09506949649916757,620.7172512478298,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,0.0,95.33536529541016,4.960896015167236,4.960896015167236,0.1,0.08957335650920868,598.6811828613281
1,8,-1,0.0,79.54761674669054,4.798310014936659,4.798310014936659,0.09999999999999999,0.09413026571273803,680.724829779731,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,0.0,92.0503921508789,4.6723291873931885,4.6723291873931885,0.1,0.09883524179458619,433.3760223388672
2,8,-1,0.0,76.89121712578668,4.437515099843343,4.437515099843343,0.09999999999999999,0.09440048866801792,573.887474907769,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,0.0,89.90182495117188,4.505465745925903,4.505465745925903,0.1,0.09700604677200318,265.69934844970703
3,8,-1,0.0,75.80212487114801,4.2724109225802955,4.2724109225802955,0.09999999999999999,0.09336581958664787,371.28482394748266,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,0.0,88.67631149291992,4.034318447113037,4.034318447113037,0.1,0.09057502448558807,220.63829040527344
4,8,-1,0.0,73.56966654459636,3.953911463419596,3.953911463419596,0.09999999999999999,0.08846542437871299,212.95667690700955,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,0.0,86.44099426269531,3.8256349563598633,3.8256349563598633,0.1,0.08739688396453858,205.7088623046875
5,8,-1,0.0,72.42655817667644,3.7134055296579995,3.7134055296579995,0.09999999999999999,0.08504138059086272,188.7293175591363,-1,,,,,,,,
6,8,-1,,,,,,,,-1,6.0,0.0,86.03116226196289,3.5682867765426636,3.5682867765426636,0.1,0.08508284091949464,200.1580047607422
6,8,-1,0.0,71.32295947604709,3.478836006588406,3.478836006588406,0.09999999999999999,0.08764390150705975,172.20430501302084,-1,,,,,,,,
7,8,-1,,,,,,,,-1,7.0,0.0,84.95500564575195,3.2091950178146362,3.2091950178146362,0.1,0.08542188107967377,195.80231475830078
7,8,-1,0.0,69.237974802653,3.1755236784617105,3.1755236784617105,0.09999999999999999,0.08838013609250388,173.57344394259982,-1,,,,,,,,
8,8,-1,,,,,,,,-1,8.0,0.0,83.3978214263916,3.060533046722412,3.060533046722412,0.1,0.09086555242538452,193.0528564453125
8,8,-1,0.0,68.33517667982314,2.9907615714603,2.9907615714603,0.09999999999999999,0.085280888610416,219.1727820502387,-1,,,,,,,,
9,8,-1,,,,,,,,-1,8.0,0.0,81.95751762390137,2.766907811164856,2.766907811164856,0.1,0.09494675099849702,193.30574798583984
9,8,-1,0.0,66.91061358981662,2.7771575450897217,2.7771575450897217,0.09999999999999999,0.09141786032252841,232.64669121636285,-1,,,,,,,,
10,8,-1,,,,,,,,-1,10.0,0.0,80.34426879882812,2.5389068126678467,2.5389068126678467,0.1,0.09636115729808808,182.80257415771484
10,8,-1,0.0,65.98496543036566,2.5645331806606717,2.5645331806606717,0.09999999999999999,0.0895916051334805,261.25030687120227,-1,,,,,,,,
11,8,-1,,,,,,,,-1,11.0,0.0,79.50719833374023,2.3998852968215942,2.3998852968215942,0.1,0.09632967412471771,169.73992919921875
11,8,-1,0.0,64.43414052327473,2.3367103735605874,2.3367103735605874,0.09999999999999999,0.1011762433581882,208.23871358235678,-1,,,,,,,,
12,8,-1,,,,,,,,-1,12.0,0.0,78.1496753692627,2.148609161376953,2.148609161376953,0.1,0.09998920261859895,166.8070068359375
12,8,-1,0.0,63.65166558159722,2.1968994670444064,2.1968994670444064,0.09999999999999999,0.09411492943763734,196.14808485243054,-1,,,,,,,,
13,8,-1,,,,,,,,-1,13.0,0.0,77.11885452270508,2.029251515865326,2.029251515865326,0.1,0.10868558883666993,147.59381103515625
13,8,-1,0.0,62.29751502143012,1.974280012978448,1.974280012978448,0.09999999999999999,0.10174355838033887,180.29747009277344,-1,,,,,,,,
14,8,-1,,,,,,,,-1,14.0,0.0,75.4239616394043,1.731827199459076,1.731827199459076,0.1,0.11480854153633119,141.48937225341797
14,8,-1,0.0,61.36379877726237,1.7680468824174669,1.7680468824174669,0.09999999999999999,0.12439258760876126,158.36109585232205,-1,,,,,,,,
15,8,-1,,,,,,,,-1,15.0,0.0,75.27331161499023,1.5783097743988037,1.5783097743988037,0.1,0.12418421506881713,136.99504852294922
15,8,-1,0.0,60.81507322523329,1.6790625519222684,1.6790625519222684,0.09999999999999999,0.1094996068212721,142.95372856987848,-1,,,,,,,,
16,8,-1,,,,,,,,-1,16.0,0.0,74.29499816894531,1.3911922574043274,1.3911922574043274,0.1,0.14182043671607972,118.48713684082031
16,8,-1,0.0,59.5117916531033,1.4785740375518799,1.4785740375518799,0.09999999999999999,0.1344651116265191,118.47103118896484,-1,,,,,,,,
17,8,-1,,,,,,,,-1,17.0,0.0,72.40681648254395,1.2293339967727661,1.2293339967727661,0.1,0.16384969353675843,102.16740417480469
17,8,-1,0.0,58.492334577772354,1.3131578763326008,1.3131578763326008,0.09999999999999999,0.15603117479218379,95.58013746473524,-1,,,,,,,,
18,8,-1,,,,,,,,-1,18.0,0.0,71.76301193237305,1.1358285546302795,1.1358285546302795,0.1,0.18963435292243958,97.9326286315918
18,8,-1,0.0,57.419677098592125,1.1152194672160678,1.1152194672160678,0.09999999999999999,0.19654979175991485,103.67247941758897,-1,,,,,,,,
19,8,-1,,,,,,,,-1,19.0,0.0,71.33496284484863,0.9321306049823761,0.9321306049823761,0.1,0.22693356275558474,95.09379196166992
19,8,-1,0.0,56.66015836927626,1.0062593751483493,1.0062593751483493,0.09999999999999999,0.21002208789189658,87.51370747884114,-1,,,,,,,,
20,8,-1,,,,,,,,-1,20.0,0.0,70.4586238861084,0.7637716233730316,0.7637716233730316,0.1,0.2932198166847229,93.92725372314453
20,8,-1,0.0,55.817476484510635,0.8826374808947245,0.8826374808947245,0.09999999999999999,0.2659770323170556,81.82609219021268,-1,,,,,,,,
21,8,-1,,,,,,,,-1,20.0,0.0,68.98587799072266,0.6085903644561768,0.6085903644561768,0.1,0.35588371753692627,94.8874397277832
21,8,-1,0.0,54.67451053195529,0.6632399691475762,0.6632399691475762,0.09999999999999999,0.3591889328426785,84.33445400661893,-1,,,,,,,,
22,8,-1,,,,,,,,-1,22.0,0.0,67.904052734375,0.4926375448703766,0.4926375448703766,0.1,0.4368455886840821,90.25632095336914
22,8,-1,0.0,53.96225335862901,0.5700869593355391,0.5700869593355391,0.09999999999999999,0.4076090070936415,90.13698832194011,-1,,,,,,,,
23,8,-1,,,,,,,,-1,23.0,0.0,66.6327075958252,0.3834686577320099,0.3834686577320099,0.1,0.5254656076431274,83.14873123168945
23,8,-1,0.0,53.83442158169217,0.6109705964724222,0.6109705964724222,0.09999999999999999,0.3574211769633823,81.742185804579,-1,,,,,,,,
24,8,-1,,,,,,,,-1,24.0,0.0,65.7154712677002,0.3089856505393982,0.3089856505393982,0.1,0.6006776332855225,81.28835678100586
24,8,-1,0.0,52.8594479031033,0.4730112420188056,0.4730112420188056,0.09999999999999999,0.5023221651713055,80.22727711995442,-1,,,,,,,,
25,8,-1,,,,,,,,-1,25.0,0.0,64.44891929626465,0.30278439819812775,0.30278439819812775,0.1,0.6447463750839233,79.98996353149414
25,8,-1,0.0,52.253254148695206,0.4369252754582299,0.4369252754582299,0.09999999999999999,0.5174796395831638,72.21408081054688,-1,,,,,,,,
26,8,-1,,,,,,,,-1,26.0,0.0,62.990922927856445,0.2985936254262924,0.2985936254262924,0.1,0.6890178680419923,78.58702850341797
26,8,-1,0.0,51.75067138671875,0.44250137938393486,0.44250137938393486,0.09999999999999999,0.5473198632399241,68.51282374064128,-1,,,,,,,,
27,8,-1,,,,,,,,-1,27.0,0.0,61.435190200805664,0.33885902166366577,0.33885902166366577,0.1,0.7197181463241578,78.14464569091797
27,8,-1,0.0,49.68199496799045,0.4870260755221049,0.4870260755221049,0.09999999999999999,0.5858845339881049,69.00996907552083,-1,,,,,,,,
28,8,-1,,,,,,,,-1,27.0,0.0,59.883792877197266,0.33642223477363586,0.33642223477363586,0.1,0.7455124378204345,80.77481079101562
28,8,-1,0.0,49.27166324191623,0.4346970187293159,0.4346970187293159,0.09999999999999999,0.651199237505595,68.60045708550348,-1,,,,,,,,
29,8,-1,,,,,,,,-1,29.0,0.0,59.78546714782715,0.311097115278244,0.311097115278244,0.1,0.7306747913360596,77.8324089050293
29,8,-1,0.0,48.05694834391276,0.38416704535484314,0.38416704535484314,0.09999999999999999,0.6542307880189683,65.57694668240018,-1,,,,,,,,
30,8,-1,,,,,,,,-1,30.0,0.0,58.59644889831543,0.30149704217910767,0.30149704217910767,0.1,0.7578185081481934,74.44145011901855
30,8,-1,0.0,47.49650849236382,0.420992159181171,0.420992159181171,0.09999999999999999,0.6139528327518039,61.30289501614041,-1,,,,,,,,
31,8,-1,,,,,,,,-1,31.0,0.0,57.7685546875,0.29525457322597504,0.29525457322597504,0.1,0.7980329036712648,71.1389102935791
31,8,-1,0.0,47.36885643005371,0.37623702817493015,0.37623702817493015,0.09999999999999999,0.5819570249981351,59.07245890299479,-1,,,,,,,,
32,8,-1,,,,,,,,-1,32.0,0.0,56.83195114135742,0.2994539141654968,0.2994539141654968,0.1,0.7900691986083985,70.17289161682129
32,8,-1,0.0,45.799470053778755,0.37114572193887496,0.37114572193887496,0.09999999999999999,0.705432309044732,54.479653464423286,-1,,,,,,,,
33,8,-1,,,,,,,,-1,32.0,0.0,56.22293281555176,0.2750125229358673,0.2750125229358673,0.1,0.7956622123718262,71.73372840881348
33,8,-1,0.0,45.406158447265625,0.33548713889386916,0.33548713889386916,0.09999999999999999,0.6952362616856894,55.19222852918837,-1,,,,,,,,
34,8,-1,,,,,,,,-1,34.0,0.0,55.23688507080078,0.2978032976388931,0.2978032976388931,0.1,0.7913727045059205,69.50069046020508
34,8,-1,0.0,44.88020282321506,0.3531827363702986,0.3531827363702986,0.09999999999999999,0.7411580774519179,54.227231131659615,-1,,,,,,,,
35,8,-1,,,,,,,,-1,35.0,0.0,54.64949607849121,0.28540000319480896,0.28540000319480896,0.1,0.791702699661255,67.77170372009277
35,8,-1,0.0,44.31352191501193,0.36112476388613385,0.36112476388613385,0.09999999999999999,0.7203853024376765,53.00720511542426,-1,,,,,,,,
36,8,-1,,,,,,,,-1,36.0,0.0,53.06117248535156,0.302239254117012,0.302239254117012,0.1,0.8246365547180177,66.01444625854492
36,8,-1,0.0,42.73752085367838,0.30047735075155896,0.30047735075155896,0.09999999999999999,0.7905328777101305,51.19744470384386,-1,,,,,,,,
37,8,-1,,,,,,,,-1,37.0,0.0,52.24857139587402,0.2999294400215149,0.2999294400215149,0.1,0.8436925411224365,65.37001037597656
37,8,-1,0.0,41.78543705410428,0.3693026072449154,0.3693026072449154,0.09999999999999999,0.8008823355038961,50.3797721862793,-1,,,,,,,,
38,8,-1,,,,,,,,-1,38.0,0.0,50.90303993225098,0.30702632665634155,0.30702632665634155,0.1,0.8767797470092773,63.4019775390625
38,8,-1,0.0,42.47441079881456,0.32997413476308185,0.32997413476308185,0.09999999999999999,0.6851578791936239,51.27070787217882,-1,,,,,,,,
39,8,-1,,,,,,,,-1,39.0,0.0,50.244272232055664,0.2880529761314392,0.2880529761314392,0.1,0.8564080715179444,63.362321853637695
39,8,-1,0.0,40.14041180080838,0.3648412989245521,0.3648412989245521,0.09999999999999999,0.8199350304073758,49.37311935424805,-1,,,,,,,,
40,8,-1,,,,,,,,-1,40.0,0.0,50.14353370666504,0.265886053442955,0.265886053442955,0.1,0.8032818078994752,62.04682731628418
40,8,-1,0.0,40.020635816786026,0.3120027780532837,0.3120027780532837,0.09999999999999999,0.8212153381771512,47.88811683654785,-1,,,,,,,,
41,8,-1,,,,,,,,-1,41.0,0.0,49.327104568481445,0.27703040838241577,0.27703040838241577,0.1,0.7825775146484375,60.13822364807129
41,8,-1,0.0,40.25935957166884,0.33934808605247074,0.33934808605247074,0.09999999999999999,0.7517228815290663,48.367052502102325,-1,,,,,,,,
42,8,-1,,,,,,,,-1,42.0,0.0,48.17276573181152,0.28284168243408203,0.28284168243408203,0.1,0.8139387845993042,58.50502586364746
42,8,-1,0.0,40.00763257344564,0.28176360494560665,0.28176360494560665,0.09999999999999999,0.6946265618006389,46.773587968614365,-1,,,,,,,,
43,8,-1,,,,,,,,-1,43.0,0.0,46.767208099365234,0.299079567193985,0.299079567193985,0.1,0.8270363569259644,57.293195724487305
43,8,-1,0.0,37.294115702311196,0.2943592601352268,0.2943592601352268,0.09999999999999999,0.7950658427344428,44.3193425072564,-1,,,,,,,,
44,8,-1,,,,,,,,-1,44.0,0.0,46.65681076049805,0.267198771238327,0.267198771238327,0.1,0.784499740600586,57.20588684082031
44,8,-1,0.0,40.08967950608995,0.3387985991107093,0.3387985991107093,0.09999999999999999,0.5679358694288467,47.46082729763455,-1,,,,,,,,
45,8,-1,,,,,,,,-1,45.0,0.0,45.86163330078125,0.24165557324886322,0.24165557324886322,0.1,0.7979679107666016,55.550148010253906
45,8,-1,0.0,38.16266844007704,0.3086376107401318,0.3086376107401318,0.09999999999999999,0.6379939794540407,45.86107423570421,-1,,,,,,,,
46,8,-1,,,,,,,,-1,46.0,0.0,45.075178146362305,0.26576385647058487,0.26576385647058487,0.1,0.7552541494369507,54.714324951171875
46,8,-1,0.0,36.20147853427463,0.29904259410169387,0.29904259410169387,0.09999999999999999,0.7646299971474542,43.61098183525933,-1,,,,,,,,
47,8,-1,,,,,,,,-1,47.0,0.0,43.4202766418457,0.2863628640770912,0.2863628640770912,0.1,0.7816474437713623,53.700984954833984
47,8,-1,0.0,35.45814577738444,0.30618789626492393,0.30618789626492393,0.09999999999999999,0.6932371430926855,42.23204591539171,-1,,,,,,,,
48,8,-1,,,,,,,,-1,48.0,0.0,41.9876766204834,0.2928616553544998,0.2928616553544998,0.1,0.7967478752136231,53.05215835571289
48,8,-1,0.0,35.569318771362305,0.30329101781050366,0.30329101781050366,0.09999999999999999,0.7376952224307591,43.56297895643446,-1,,,,,,,,
49,8,-1,,,,,,,,-1,49.0,0.0,41.898719787597656,0.2751438319683075,0.2751438319683075,0.1,0.7523427724838256,52.50401496887207
49,8,-1,0.0,34.33326138390435,0.3310841570297877,0.3310841570297877,0.09999999999999999,0.767756658130222,42.51811197068956,-1,,,,,,,,
50,8,-1,,,,,,,,-1,50.0,0.0,39.932101249694824,0.27881716191768646,0.27881716191768646,0.1,0.807249927520752,50.061288833618164
50,8,-1,0.0,33.97166760762533,0.27639758586883545,0.27639758586883545,0.09999999999999999,0.5822307692633735,41.37881427341037,-1,,,,,,,,
51,8,-1,,,,,,,,-1,51.0,0.0,39.22610092163086,0.27746979892253876,0.27746979892253876,0.1,0.7821022033691407,48.88757133483887
51,8,-1,0.0,31.938577228122288,0.2943999105029636,0.2943999105029636,0.09999999999999999,0.7971573882632786,39.38200251261393,-1,,,,,,,,
