epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,12.147076924641928,80.28740607367621,2.151050885518392,55.03390121459961,55.03390121459961,0.09999999999999999,0.10882420672310723,671.8617824978298,-1,,,,,,,,,
1,8,-1,,,,,,,,,-1,1.0,11.52876091003418,95.89901351928711,2.1816405057907104,48.004398345947266,48.004398345947266,0.1,0.10222494602203369,617.4354553222656
1,8,-1,12.068008104960123,79.66070387098524,2.1325446234809027,51.05263561672635,51.05263561672635,0.09999999999999999,0.10482691592640346,631.126695421007,-1,,,,,,,,,
2,8,-1,,,,,,,,,-1,2.0,11.378837585449219,93.16072845458984,2.1299222707748413,42.17595672607422,42.17595672607422,0.1,0.09786996841430665,555.74169921875
2,8,-1,11.926228099399143,77.45544730292426,2.106684022479587,42.36687978108724,42.36687978108724,0.09999999999999999,0.09871198733647664,541.4846869574653,-1,,,,,,,,,
3,8,-1,,,,,,,,,-1,3.0,11.285706043243408,91.16543197631836,2.1262052059173584,37.659358978271484,37.659358978271484,0.1,0.0946619987487793,508.1457824707031
3,8,-1,11.823631604512533,76.6082534790039,2.0853291087680392,37.71202596028646,37.71202596028646,0.09999999999999999,0.09634654323259989,493.67186482747394,-1,,,,,,,,,
4,8,-1,,,,,,,,,-1,4.0,11.227160453796387,89.71613693237305,2.0811957120895386,28.79777717590332,28.79777717590332,0.1,0.08985509872436524,417.78759765625
4,8,-1,11.743691974216038,74.4200570848253,2.047185288535224,31.157742182413738,31.157742182413738,0.09999999999999999,0.0945547706551022,425.66474066840277,-1,,,,,,,,,
5,8,-1,,,,,,,,,-1,5.0,11.219936847686768,87.86462020874023,2.0851309299468994,22.074408531188965,22.074408531188965,0.1,0.08698528110980988,348.63938903808594
