epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_y_kl,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_y_kl,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,0.0,71.51250584920247,0.7981376250584921,0.09999999999999999,0.0845592074924045,79.5784428914388,-1,,,,,,,
1,8,-1,,,,,,,-1,1.0,0.0,85.18694305419922,0.7407603561878204,0.1,0.08118585646152497,92.67572784423828
1,8,-1,0.0,71.16529803805881,0.7642450200186836,0.09999999999999999,0.08271163569556345,78.89045969645183,-1,,,,,,,
2,8,-1,,,,,,,-1,2.0,0.0,84.40717315673828,0.6945394277572632,0.1,0.08088834583759308,91.43345642089844
2,8,-1,0.0,69.63436296251085,0.6994537247551812,0.09999999999999999,0.07950566079881456,76.70840581258138,-1,,,,,,,
3,8,-1,,,,,,,-1,3.0,0.0,81.87361526489258,0.6496386826038361,0.1,0.07571364343166352,88.44571685791016
3,8,-1,0.0,68.25499852498372,0.6615956028302511,0.09999999999999999,0.07835463086764018,74.94931072658963,-1,,,,,,,
4,8,-1,,,,,,,-1,4.0,0.0,79.62084579467773,0.6695832312107086,0.1,0.07232156693935395,86.38900375366211
4,8,-1,0.0,66.66210979885525,0.6207424402236938,0.09999999999999999,0.07432182894812692,72.94385528564453,-1,,,,,,,
5,8,-1,,,,,,,-1,5.0,0.0,78.75200653076172,0.5861462354660034,0.1,0.07064388990402222,84.68411254882812
5,8,-1,0.0,64.96144061618381,0.6210558282004462,0.09999999999999999,0.07092953191863166,71.24292924669054,-1,,,,,,,
6,8,-1,,,,,,,-1,6.0,0.0,77.78619956970215,0.5402008891105652,0.1,0.07060953080654145,83.25881576538086
6,8,-1,0.0,64.08546913994684,0.5438935425546434,0.09999999999999999,0.06927255127165052,69.59367667304144,-1,,,,,,,
7,8,-1,,,,,,,-1,7.0,0.0,76.65961265563965,0.4923795163631439,0.1,0.06943394839763642,81.65284156799316
7,8,-1,0.0,63.02389992607964,0.4868583016925388,0.09999999999999999,0.06726364890734354,67.95974773830838,-1,,,,,,,
8,8,-1,,,,,,,-1,8.0,0.0,75.71123695373535,0.4448901563882828,0.1,0.0680134803056717,80.2281494140625
8,8,-1,0.0,61.95954895019531,0.4565686517291599,0.09999999999999999,0.06759039229816861,66.59282684326172,-1,,,,,,,
9,8,-1,,,,,,,-1,9.0,0.0,74.71287727355957,0.4354977607727051,0.1,0.06872873902320861,79.13658142089844
9,8,-1,0.0,61.35670683119032,0.4276706311437819,0.09999999999999999,0.06656436853938633,65.69997829861111,-1,,,,,,,
10,8,-1,,,,,,,-1,10.0,0.0,74.15386390686035,0.39962807297706604,0.1,0.06917437314987182,78.21932029724121
10,8,-1,0.0,60.55825720893012,0.40253421664237976,0.09999999999999999,0.06588445372051661,64.64948399861653,-1,,,,,,,
11,8,-1,,,,,,,-1,11.0,0.0,72.41278076171875,0.3332439064979553,0.1,0.06409567892551422,75.8093147277832
11,8,-1,0.0,59.483208974202476,0.3812248905499776,0.09999999999999999,0.06655281649695503,63.36200968424479,-1,,,,,,,
12,8,-1,,,,,,,-1,12.0,0.0,71.92252159118652,0.3454173505306244,0.1,0.0678304225206375,75.44452476501465
12,8,-1,0.0,58.622068617078995,0.3434162868393792,0.09999999999999999,0.06585924757851495,62.122090657552086,-1,,,,,,,
13,8,-1,,,,,,,-1,13.0,0.0,71.76167106628418,0.33905208110809326,0.1,0.07001700103282929,75.22220993041992
13,8,-1,0.0,57.99867799546983,0.32749424046940273,0.09999999999999999,0.06635507080290054,61.33997472127279,-1,,,,,,,
14,8,-1,,,,,,,-1,14.0,0.0,69.97260665893555,0.31432974338531494,0.1,0.0708075374364853,73.18671226501465
14,8,-1,0.0,57.45430946350098,0.31109311514430577,0.09999999999999999,0.0662750177913242,60.63151635064019,-1,,,,,,,
15,8,-1,,,,,,,-1,15.0,0.0,69.34247398376465,0.2777600437402725,0.1,0.07077983021736145,72.19085502624512
15,8,-1,0.0,56.79055913289388,0.29198093877898323,0.09999999999999999,0.06675075491269429,59.77711910671658,-1,,,,,,,
16,8,-1,,,,,,,-1,16.0,0.0,68.28875541687012,0.26667798310518265,0.1,0.07073302567005157,71.02626991271973
16,8,-1,0.0,56.119764963785805,0.27742819322480095,0.09999999999999999,0.06798095835579768,58.962028079562714,-1,,,,,,,
17,8,-1,,,,,,,-1,17.0,0.0,67.40847396850586,0.23618832230567932,0.1,0.0717860609292984,69.84214401245117
17,8,-1,0.0,55.20545874701606,0.25562616023752427,0.09999999999999999,0.06867706510755751,57.83039686414931,-1,,,,,,,
18,8,-1,,,,,,,-1,18.0,0.0,66.99517631530762,0.2326141595840454,0.1,0.07676420211791993,69.3980827331543
18,8,-1,0.0,54.631513595581055,0.2716258267561595,0.09999999999999999,0.07292897171444364,57.42070176866319,-1,,,,,,,
19,8,-1,,,,,,,-1,19.0,0.0,65.80305480957031,0.21217581629753113,0.1,0.0749813348054886,67.99979400634766
19,8,-1,0.0,53.64306852552626,0.2175223214758767,0.09999999999999999,0.07177677485677932,55.89006805419922,-1,,,,,,,
20,8,-1,,,,,,,-1,20.0,0.0,64.53297805786133,0.20925823599100113,0.1,0.08103240728378297,66.70659446716309
20,8,-1,0.0,53.40695105658637,0.22763921320438385,0.09999999999999999,0.07157542639308506,55.754918840196396,-1,,,,,,,
21,8,-1,,,,,,,-1,21.0,0.0,63.30182456970215,0.17968392372131348,0.1,0.07919556498527527,65.1778564453125
21,8,-1,0.0,52.43814129299588,0.21749414006868997,0.09999999999999999,0.07480654054217868,54.68788825141059,-1,,,,,,,
22,8,-1,,,,,,,-1,22.0,0.0,62.292104721069336,0.17745453864336014,0.1,0.08569996953010559,64.1523494720459
22,8,-1,0.0,51.74222331576877,0.1798559758398268,0.09999999999999999,0.07423988713158503,53.61502244737413,-1,,,,,,,
23,8,-1,,,,,,,-1,23.0,0.0,62.36190414428711,0.14019013196229935,0.1,0.08249757885932923,63.84630012512207
23,8,-1,0.0,50.700938330756294,0.1692241976658503,0.09999999999999999,0.08179155323240493,52.47497261895074,-1,,,,,,,
24,8,-1,,,,,,,-1,24.0,0.0,60.48457145690918,0.14357903972268105,0.1,0.09217673838138582,62.01253700256348
24,8,-1,0.0,50.99650616115994,0.16426996058887905,0.09999999999999999,0.07319088445769419,52.71239683363173,-1,,,,,,,
25,8,-1,,,,,,,-1,25.0,0.0,59.64154815673828,0.14153020828962326,0.1,0.09620623588562012,61.15305709838867
25,8,-1,0.0,49.48525301615397,0.16511766446961296,0.09999999999999999,0.08261477616098192,51.21904500325521,-1,,,,,,,
26,8,-1,,,,,,,-1,26.0,0.0,58.91160202026367,0.1080833375453949,0.1,0.09104280769824982,60.08347702026367
26,8,-1,0.0,48.25065782335069,0.15067919426494175,0.09999999999999999,0.08417931066619026,49.84162945217557,-1,,,,,,,
27,8,-1,,,,,,,-1,27.0,0.0,57.366458892822266,0.11160808056592941,0.1,0.09775505363941193,58.58029365539551
27,8,-1,0.0,47.69403478834364,0.12161488748259014,0.09999999999999999,0.08692433436711627,48.9971080356174,-1,,,,,,,
28,8,-1,,,,,,,-1,28.0,0.0,57.02439308166504,0.10703035444021225,0.1,0.10355186164379121,58.198246002197266
28,8,-1,0.0,47.13160938686795,0.14344757546981177,0.09999999999999999,0.08577440910869176,48.65185991923014,-1,,,,,,,
