epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,13.708428064982096,71.51505491468642,1.4884020222557917,0.8046608765920004,0.09999999999999999,0.05718926986058554,247.70124986436633,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,13.730227947235107,85.39127349853516,1.4740719199180603,0.6948893666267395,0.1,0.055128195881843575,239.62857055664062
1,8,-1,13.737134509616428,71.24636925591363,1.487484097480774,0.7575853334532844,0.09999999999999999,0.05749643378787571,238.0455525716146,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,13.789146423339844,85.07180786132812,1.478717863559723,0.6456658244132996,0.1,0.05330648422241212,229.5261459350586
2,8,-1,13.774570359124077,69.97251510620117,1.4732211960686579,0.6870205932193332,0.09999999999999999,0.05432338118553162,222.67874823676215,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,13.796569347381592,83.6235580444336,1.4615527987480164,0.6127364933490753,0.1,0.055864551663398744,221.4848403930664
3,8,-1,13.79803032345242,68.99904039171007,1.4489065541161432,0.6534841524230109,0.09999999999999999,0.0535047299332089,214.9963141547309,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,13.861156463623047,82.79221534729004,1.442458152770996,0.54841747879982,0.1,0.049539160728454594,207.82886505126953
4,8,-1,13.811320940653482,68.12260055541992,1.447335057788425,0.5849960380130343,0.09999999999999999,0.05094083944956462,200.43140665690103,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,13.885171890258789,82.09900283813477,1.4241799712181091,0.5125196427106857,0.1,0.048720027506351474,199.96100616455078
5,8,-1,13.848769823710123,67.13882870144315,1.435106052292718,0.5276173022058275,0.09999999999999999,0.049342912766668544,187.9955071343316,-1,,,,,,,,
6,8,-1,,,,,,,,-1,6.0,13.903231143951416,80.98497009277344,1.4182021021842957,0.47601690888404846,0.1,0.04870901554822922,191.5584945678711
6,8,-1,13.869075139363607,66.36645380655925,1.4268363184399075,0.4906119174427456,0.09999999999999999,0.04657023284170363,179.8313225640191,-1,,,,,,,,
7,8,-1,,,,,,,,-1,7.0,13.892868518829346,80.23198509216309,1.4066896438598633,0.45371468365192413,0.1,0.04561629295349121,186.32009887695312
7,8,-1,13.866749233669704,65.43040635850694,1.42767243915134,0.4481131136417389,0.09999999999999999,0.0455664618147744,170.3930206298828,-1,,,,,,,,
8,8,-1,,,,,,,,-1,8.0,13.882086277008057,79.69836616516113,1.4203708171844482,0.40158045291900635,0.1,0.04442180842161179,175.36133575439453
8,8,-1,13.87198872036404,64.87954966227214,1.429312202665541,0.4140401416354709,0.09999999999999999,0.044208331571684946,163.03308953179254,-1,,,,,,,,
