epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,68.54213968912761,71.51505491468642,1.4884020222557917,0.8046608765920004,0.09999999999999999,0.0859701156616211,149.6781751844618,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,68.13245010375977,85.17528533935547,1.4728389978408813,0.7268047034740448,0.1,0.0832388311624527,162.1318588256836
1,8,-1,68.50242021348741,71.16312408447266,1.4874377250671387,0.7703704304165311,0.09999999999999999,0.08416862024201285,148.9408484564887,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,67.77371215820312,84.51042175292969,1.4705005884170532,0.7041756510734558,0.1,0.08208897411823274,160.87847137451172
2,8,-1,68.25135633680556,69.65603468153212,1.4698483811484442,0.7280232508977255,0.09999999999999999,0.0811556663778093,146.73863220214844,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,66.52947616577148,82.35383033752441,1.4339012503623962,0.6897412240505219,0.1,0.07561353743076324,157.29022979736328
3,8,-1,67.72535451253255,68.44291814168294,1.4390364090601604,0.7182304528024461,0.09999999999999999,0.07921115358670554,144.8688227335612,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,64.76195907592773,79.87888526916504,1.3505464792251587,0.7819033861160278,0.1,0.0725416123867035,153.88297271728516
4,8,-1,66.28886837429471,66.91657002766927,1.4152383936776056,0.7080026865005493,0.09999999999999999,0.07572752899593777,141.77642483181424,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,60.81724166870117,78.32423210144043,1.3091950416564941,0.9240226149559021,0.1,0.07044090926647187,149.76133728027344
5,8,-1,63.8651852077908,64.99147457546658,1.3583080901039972,0.8034549355506897,0.09999999999999999,0.07214799920717875,138.32166459825305,-1,,,,,,,,
6,8,-1,,,,,,,,-1,6.0,59.79580879211426,77.28116989135742,1.3123723864555359,0.8971716165542603,0.1,0.06922978162765503,147.4302978515625
6,8,-1,61.56521140204536,63.82041549682617,1.3340978622436523,0.9237382411956787,0.09999999999999999,0.06971853971481323,136.0268308851454,-1,,,,,,,,
7,8,-1,,,,,,,,-1,7.0,59.38965034484863,76.39619064331055,1.2933746576309204,0.763883501291275,0.1,0.07011295855045319,144.7881622314453
7,8,-1,61.29720136854384,62.84048292371962,1.3444190157784357,0.8040992948744032,0.09999999999999999,0.06800943944189283,133.59110853407117,-1,,,,,,,,
8,8,-1,,,,,,,,-1,8.0,57.79752159118652,75.48891258239746,1.3034575581550598,0.7236734628677368,0.1,0.06836673617362976,141.8949966430664
8,8,-1,60.66382810804579,61.864882151285805,1.3343752092785306,0.7166380849149492,0.09999999999999999,0.06832524206903247,131.09779273139105,-1,,,,,,,,
9,8,-1,,,,,,,,-1,9.0,53.713890075683594,74.5185317993164,1.2782634496688843,0.9056898951530457,0.1,0.06899154186248779,138.6365737915039
9,8,-1,61.5157470703125,61.31342654758029,1.3251833120981853,0.62341065870391,0.09999999999999999,0.0672677218914032,130.45573340521918,-1,,,,,,,,
10,8,-1,,,,,,,,-1,10.0,53.20257759094238,73.62293243408203,1.2656182050704956,0.790493905544281,0.1,0.07038105428218841,136.06644821166992
10,8,-1,56.24587080213759,60.43207041422526,1.3035101890563965,0.9041865501138899,0.09999999999999999,0.0668219162358178,127.0901370578342,-1,,,,,,,,
11,8,-1,,,,,,,,-1,11.0,53.11718940734863,71.69156265258789,1.2293254733085632,0.7136342227458954,0.1,0.06741551160812378,133.2418327331543
11,8,-1,55.81966061062283,59.367302364773224,1.2781223588519626,0.7821651366021898,0.09999999999999999,0.06856322553422717,124.3553000556098,-1,,,,,,,,
12,8,-1,,,,,,,,-1,12.0,50.844133377075195,71.06255149841309,1.2427032589912415,0.7582773268222809,0.1,0.07093527019023896,130.80309295654297
12,8,-1,54.886828104654946,58.28246392144097,1.2755182716581557,0.7611803147527907,0.09999999999999999,0.0689373234907786,122.12555101182726,-1,,,,,,,,
13,8,-1,,,,,,,,-1,13.0,49.15686798095703,70.86052894592285,1.2323030829429626,0.8434569537639618,0.1,0.07469317317008972,129.75896453857422
