epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,0.0,80.3684450785319,4.950324800279406,4.950324800279406,0.09999999999999999,0.09506949649916757,132.65204366048178,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,0.0,95.33476257324219,4.9050726890563965,4.9050726890563965,0.1,0.08978074789047241,147.57215881347656
1,8,-1,0.0,79.5473141140408,4.772909482320149,4.772909482320149,0.09999999999999999,0.09389411807060243,129.884152730306,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,0.0,92.0462875366211,4.53164267539978,4.53164267539978,0.1,0.09847626388072968,140.1690902709961
2,8,-1,0.0,76.89201821221246,4.350374115837945,4.350374115837945,0.09999999999999999,0.09409010675218371,122.69906192355685,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,0.0,89.87565994262695,4.274668216705322,4.274668216705322,0.1,0.09670736491680146,135.08405685424805
3,8,-1,0.0,75.80125003390842,4.120771010716756,4.120771010716756,0.09999999999999999,0.09335113763809205,119.09477657741971,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,0.0,88.63190460205078,3.7966222763061523,3.7966222763061523,0.1,0.09004168808460236,128.7579803466797
4,8,-1,0.0,73.55285220675998,3.754099792904324,3.754099792904324,0.09999999999999999,0.08866918815506829,112.91117095947266,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,0.0,86.38236236572266,3.5496217012405396,3.5496217012405396,0.1,0.08828890025615693,123.78927993774414
5,8,-1,0.0,72.40542560153537,3.4991851382785373,3.4991851382785373,0.09999999999999999,0.08506293892860411,109.09705098470052,-1,,,,,,,,
6,8,-1,,,,,,,,-1,6.0,0.0,85.97341537475586,3.2996654510498047,3.2996654510498047,0.1,0.0843007504940033,120.66033935546875
6,8,-1,0.0,71.2826902601454,3.2534583144717746,3.2534583144717746,0.09999999999999999,0.08736919230884978,105.36096954345703,-1,,,,,,,,
7,8,-1,,,,,,,,-1,7.0,0.0,84.92411422729492,2.970287799835205,2.970287799835205,0.1,0.08484787046909333,116.14719772338867
7,8,-1,0.0,69.19554095798068,2.951114469104343,2.951114469104343,0.09999999999999999,0.0875105056497786,100.17488945855035,-1,,,,,,,,
8,8,-1,,,,,,,,-1,8.0,0.0,83.3416576385498,2.801079750061035,2.801079750061035,0.1,0.09037768840789795,112.82519912719727
8,8,-1,0.0,68.29529656304254,2.7713059054480658,2.7713059054480658,0.09999999999999999,0.08447782993316652,97.52635955810547,-1,,,,,,,,
9,8,-1,,,,,,,,-1,9.0,0.0,81.88419723510742,2.513816475868225,2.513816475868225,0.1,0.09342893660068513,108.52424621582031
9,8,-1,0.0,66.86121114095052,2.556234253777398,2.556234253777398,0.09999999999999999,0.09019923872417873,93.97871568467882,-1,,,,,,,,
10,8,-1,,,,,,,,-1,10.0,0.0,80.25128555297852,2.282340884208679,2.282340884208679,0.1,0.09562707245349886,104.67067337036133
10,8,-1,0.0,65.92080476548936,2.341463009516398,2.341463009516398,0.09999999999999999,0.08837171461847095,90.96993849012587,-1,,,,,,,,
11,8,-1,,,,,,,,-1,11.0,0.0,79.39150428771973,2.135160207748413,2.135160207748413,0.1,0.0952210694551468,102.37772369384766
11,8,-1,0.0,64.33527331882053,2.112273693084717,2.112273693084717,0.09999999999999999,0.09992260601785447,87.15630467732747,-1,,,,,,,,
12,8,-1,,,,,,,,-1,12.0,0.0,78.02684211730957,1.8959190249443054,1.8959190249443054,0.1,0.09908827245235444,98.64552307128906
12,8,-1,0.0,63.55198499891493,1.9741671747631497,1.9741671747631497,0.09999999999999999,0.09328497515784369,85.01560677422418,-1,,,,,,,,
13,8,-1,,,,,,,,-1,13.0,0.0,76.9655818939209,1.7682114839553833,1.7682114839553833,0.1,0.10820478796958924,96.37305450439453
13,8,-1,0.0,62.177330017089844,1.7579441997740004,1.7579441997740004,0.09999999999999999,0.10087912082672121,81.53147972954645,-1,,,,,,,,
14,8,-1,,,,,,,,-1,14.0,0.0,75.26285934448242,1.494480013847351,1.494480013847351,0.1,0.1135183095932007,91.93925476074219
14,8,-1,0.0,61.208137088351776,1.5612782902187772,1.5612782902187772,0.09999999999999999,0.12331022686428494,78.62700017293294,-1,,,,,,,,
15,8,-1,,,,,,,,-1,15.0,0.0,75.09992027282715,1.3669137954711914,1.3669137954711914,0.1,0.12368229627609253,90.52273559570312
15,8,-1,0.0,60.66762203640408,1.4807878732681274,1.4807878732681274,0.09999999999999999,0.10870294902059768,77.25149366590712,-1,,,,,,,,
16,8,-1,,,,,,,,-1,16.0,0.0,74.09274291992188,1.1885259747505188,1.1885259747505188,0.1,0.14138904809951783,87.72138977050781
16,8,-1,0.0,59.315543280707466,1.292812122239007,1.292812122239007,0.09999999999999999,0.13366640938652885,74.02831988864475,-1,,,,,,,,
17,8,-1,,,,,,,,-1,17.0,0.0,72.1885757446289,1.0374523997306824,1.0374523997306824,0.1,0.16342730522155763,84.28436279296875
17,8,-1,0.0,58.271178775363495,1.1413291295369465,1.1413291295369465,0.09999999999999999,0.15566708909140695,71.44796710544162,-1,,,,,,,,
18,8,-1,,,,,,,,-1,18.0,0.0,71.55660247802734,0.9558558166027069,0.9558558166027069,0.1,0.19090910553932192,82.8560619354248
18,8,-1,0.0,57.17237366570367,0.9641831782129076,0.9641831782129076,0.09999999999999999,0.19639763832092283,68.57488844129774,-1,,,,,,,,
19,8,-1,,,,,,,,-1,19.0,0.0,71.12704277038574,0.7769910097122192,0.7769910097122192,0.1,0.23103300333023072,80.61630249023438
19,8,-1,0.0,56.42350641886393,0.8652710649702284,0.8652710649702284,0.09999999999999999,0.21218636963102555,66.76481035020616,-1,,,,,,,,
20,8,-1,,,,,,,,-1,20.0,0.0,70.30406951904297,0.6274486482143402,0.6274486482143402,0.1,0.3041327953338623,78.34729766845703
20,8,-1,0.0,55.60111745198568,0.7525443368487887,0.7525443368487887,0.09999999999999999,0.27269812623659767,64.83341895209418,-1,,,,,,,,
21,8,-1,,,,,,,,-1,21.0,0.0,68.74010467529297,0.4943500757217407,0.4943500757217407,0.1,0.3841314554214478,75.40806770324707
21,8,-1,0.0,54.41227616204156,0.5579107701778412,0.5579107701778412,0.09999999999999999,0.37880462805430093,61.73782221476237,-1,,,,,,,,
22,8,-1,,,,,,,,-1,22.0,0.0,67.66093635559082,0.41444583237171173,0.41444583237171173,0.1,0.4762129783630371,73.60477066040039
22,8,-1,0.0,53.67126125759549,0.48873387111557853,0.48873387111557853,0.09999999999999999,0.4437233368555705,60.29571617974175,-1,,,,,,,,
23,8,-1,,,,,,,,-1,23.0,0.0,66.34001159667969,0.34615060687065125,0.34615060687065125,0.1,0.55473952293396,71.68419456481934
23,8,-1,0.0,53.37805154588487,0.5442471934689416,0.5442471934689416,0.09999999999999999,0.3887538327111138,60.49336666531033,-1,,,,,,,,
24,8,-1,,,,,,,,-1,24.0,0.0,65.33087730407715,0.2870234400033951,0.2870234400033951,0.1,0.6279590606689454,70.11371040344238
24,8,-1,0.0,52.05008422003852,0.4357909791999393,0.4357909791999393,0.09999999999999999,0.5361670361624823,58.230993058946396,-1,,,,,,,,
25,8,-1,,,,,,,,-1,25.0,0.0,62.96808624267578,0.2705070674419403,0.2705070674419403,0.1,0.7125497341156006,67.61104202270508
25,8,-1,0.0,51.328457302517364,0.4009757820102904,0.4009757820102904,0.09999999999999999,0.5617245038350424,57.138900968763565,-1,,,,,,,,
26,8,-1,,,,,,,,-1,26.0,0.0,61.3231315612793,0.26121586561203003,0.26121586561203003,0.1,0.7289384365081788,65.83875274658203
26,8,-1,0.0,50.09601147969564,0.4190688398149278,0.4190688398149278,0.09999999999999999,0.6153426243199243,56.062632666693794,-1,,,,,,,,
27,8,-1,,,,,,,,-1,27.0,0.0,60.02286148071289,0.22707291692495346,0.22707291692495346,0.1,0.8075629949569703,64.279052734375
27,8,-1,0.0,48.56113984849718,0.3906146205133862,0.3906146205133862,0.09999999999999999,0.6318647689289518,54.2047119140625,-1,,,,,,,,
28,8,-1,,,,,,,,-1,28.0,0.0,58.207021713256836,0.20949190855026245,0.20949190855026245,0.1,0.8725358486175537,62.40399932861328
28,8,-1,0.0,48.03274917602539,0.3596077329582638,0.3596077329582638,0.09999999999999999,0.7728796190685697,53.51252746582031,-1,,,,,,,,
29,8,-1,,,,,,,,-1,29.0,0.0,58.15263557434082,0.19554977864027023,0.19554977864027023,0.1,0.8068442344665527,62.241716384887695
29,8,-1,0.0,46.77241325378418,0.3234251406457689,0.3234251406457689,0.09999999999999999,0.7343469990624323,51.87793307834201,-1,,,,,,,,
30,8,-1,,,,,,,,-1,30.0,0.0,56.69149208068848,0.20826591551303864,0.20826591551303864,0.1,0.8195636034011842,60.95488357543945
30,8,-1,0.0,46.1463197072347,0.3229133188724518,0.3229133188724518,0.09999999999999999,0.6991583294338651,51.23816808064779,-1,,,,,,,,
31,8,-1,,,,,,,,-1,31.0,0.0,55.54145812988281,0.1657366007566452,0.1657366007566452,0.1,0.875300407409668,59.42808723449707
31,8,-1,0.0,45.80587365892198,0.29585643940501744,0.29585643940501744,0.09999999999999999,0.6375420146518285,50.58230442470975,-1,,,,,,,,
32,8,-1,,,,,,,,-1,32.0,0.0,54.44997787475586,0.20871642231941223,0.20871642231941223,0.1,0.8476592540740967,58.723228454589844
32,8,-1,0.0,44.054412841796875,0.306693681412273,0.306693681412273,0.09999999999999999,0.7937524689568414,49.05315695868598,-1,,,,,,,,
33,8,-1,,,,,,,,-1,33.0,0.0,53.96916389465332,0.15090014040470123,0.15090014040470123,0.1,0.8394987344741822,57.718345642089844
33,8,-1,0.0,43.43849288092719,0.26115398274527657,0.26115398274527657,0.09999999999999999,0.7463478273815579,47.93919859992133,-1,,,,,,,,
34,8,-1,,,,,,,,-1,34.0,0.0,52.087158203125,0.1829553097486496,0.1829553097486496,0.1,0.880627179145813,56.237478256225586
34,8,-1,0.0,42.75216590033637,0.25074295202891034,0.25074295202891034,0.09999999999999999,0.8252773867713082,47.25283983018663,-1,,,,,,,,
35,8,-1,,,,,,,,-1,35.0,0.0,51.57525634765625,0.15950556844472885,0.15950556844472885,0.1,0.8761506795883178,55.55389404296875
35,8,-1,0.0,42.0703673892551,0.308046441939142,0.308046441939142,0.09999999999999999,0.7998599608739217,47.16032579210069,-1,,,,,,,,
36,8,-1,,,,,,,,-1,36.0,0.0,49.528846740722656,0.1839834675192833,0.1839834675192833,0.1,0.9098196029663086,53.83411407470703
36,8,-1,0.0,40.039617750379776,0.20254822737640804,0.20254822737640804,0.09999999999999999,0.8846581406063505,44.198757807413735,-1,,,,,,,,
37,8,-1,,,,,,,,-1,37.0,0.0,48.49690246582031,0.15033071488142014,0.15033071488142014,0.1,0.962584400177002,52.64521408081055
37,8,-1,0.0,38.761498557196724,0.272021621465683,0.272021621465683,0.09999999999999999,0.8981306234995523,43.6702815161811,-1,,,,,,,,
38,8,-1,,,,,,,,-1,38.0,0.0,46.263113021850586,0.1704205796122551,0.1704205796122551,0.1,1.0176736354827882,50.7829647064209
38,8,-1,0.0,39.395652559068466,0.26064303186204696,0.26064303186204696,0.09999999999999999,0.7978371143341065,44.2158080206977,-1,,,,,,,,
39,8,-1,,,,,,,,-1,39.0,0.0,45.2828950881958,0.1573508456349373,0.1573508456349373,0.1,1.0090396881103516,49.828895568847656
39,8,-1,0.0,36.59873231252035,0.28115784956349266,0.28115784956349266,0.09999999999999999,0.9413922892676462,41.85203234354655,-1,,,,,,,,
40,8,-1,,,,,,,,-1,40.0,0.0,45.421817779541016,0.1278318129479885,0.1278318129479885,0.1,0.9139262676239014,49.667789459228516
40,8,-1,0.0,36.48941569858127,0.24306430336501864,0.24306430336501864,0.09999999999999999,0.9593564139472116,41.47767236497667,-1,,,,,,,,
41,8,-1,,,,,,,,-1,41.0,0.0,44.32465934753418,0.1745157465338707,0.1745157465338707,0.1,0.8696870326995849,48.940921783447266
41,8,-1,0.0,36.34636900160048,0.27398184935251874,0.27398184935251874,0.09999999999999999,0.8367985248565675,41.54554557800293,-1,,,,,,,,
42,8,-1,,,,,,,,-1,42.0,0.0,43.31999492645264,0.15863414853811264,0.15863414853811264,0.1,0.8829363346099854,47.734994888305664
42,8,-1,0.0,36.32130453321669,0.24224306643009186,0.24224306643009186,0.09999999999999999,0.736191103193495,41.06103621588813,-1,,,,,,,,
43,8,-1,,,,,,,,-1,43.0,0.0,41.56081676483154,0.18551544845104218,0.18551544845104218,0.1,0.8947934150695802,46.263648986816406
43,8,-1,0.0,33.26449383629693,0.22271414432260725,0.22271414432260725,0.09999999999999999,0.8438644091288249,37.87473742167155,-1,,,,,,,,
44,8,-1,,,,,,,,-1,43.0,0.0,41.34136390686035,0.2335876300930977,0.2335876300930977,0.1,0.8337738275527955,46.55309867858887
44,8,-1,0.0,35.87003623114692,0.28765258027447593,0.28765258027447593,0.09999999999999999,0.6358892069922554,40.97510973612467,-1,,,,,,,,
45,8,-1,,,,,,,,-1,45.0,0.0,40.73996067047119,0.16500787436962128,0.16500787436962128,0.1,0.8074385166168213,45.33232498168945
45,8,-1,0.0,33.4813298119439,0.27716479036543107,0.27716479036543107,0.09999999999999999,0.6882181511984932,38.58627955118815,-1,,,,,,,,
46,8,-1,,,,,,,,-1,46.0,0.0,39.750125885009766,0.14058838784694672,0.14058838784694672,0.1,0.797161054611206,44.205763816833496
46,8,-1,0.0,31.851251496209038,0.22052566955486932,0.22052566955486932,0.09999999999999999,0.7582105371687147,36.5396294063992,-1,,,,,,,,
47,8,-1,,,,,,,,-1,47.0,0.0,37.813645362854004,0.16705768555402756,0.16705768555402756,0.1,0.8290009021759033,42.63860321044922
47,8,-1,0.0,31.12171893649631,0.24791052440802255,0.24791052440802255,0.09999999999999999,0.7312187300788033,36.12807952033149,-1,,,,,,,,
48,8,-1,,,,,,,,-1,48.0,0.0,36.67568778991699,0.172224760055542,0.172224760055542,0.1,0.8271204710006714,41.70226001739502
48,8,-1,0.0,30.87254884507921,0.2589371022250917,0.2589371022250917,0.09999999999999999,0.7684686342875163,36.12586381700304,-1,,,,,,,,
49,8,-1,,,,,,,,-1,49.0,0.0,36.95964813232422,0.13313044607639313,0.13313044607639313,0.1,0.7978179454803467,41.56364822387695
49,8,-1,0.0,30.60800690121121,0.295998493830363,0.295998493830363,0.09999999999999999,0.790149031745063,36.299910651312935,-1,,,,,,,,
50,8,-1,,,,,,,,-1,50.0,0.0,34.31551265716553,0.2267221361398697,0.2267221361398697,0.1,0.8535416603088379,39.894423484802246
50,8,-1,0.0,29.269214206271702,0.19194948507679832,0.19194948507679832,0.09999999999999999,0.6103618144989015,33.75791931152344,-1,,,,,,,,
51,8,-1,,,,,,,,-1,51.0,0.0,35.08024501800537,0.12754600122570992,0.12754600122570992,0.1,0.7928770542144776,39.786407470703125
51,8,-1,0.0,27.4366520775689,0.32446982628769344,0.32446982628769344,0.09999999999999999,0.8292230818006728,33.51790036095513,-1,,,,,,,,
