epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,60.73538462320963,80.28740607367621,2.151050885518392,55.03390121459961,55.03390121459961,0.09999999999999999,0.10882420672310723,694.9359402126736,-1,,,,,,,,,
1,8,-1,,,,,,,,,-1,1.0,57.52687072753906,95.89823913574219,2.1816235780715942,48.02028465270996,48.02028465270996,0.1,0.10222923755645752,637.3423156738281
1,8,-1,60.29623540242513,79.66058519151476,2.1325409412384033,51.05540084838867,51.05540084838867,0.09999999999999999,0.10479739904403688,654.0388590494791,-1,,,,,,,,,
2,8,-1,,,,,,,,,-1,2.0,56.627899169921875,93.15663146972656,2.1298348903656006,42.21955680847168,42.21955680847168,0.1,0.09789237678050995,575.5870056152344
2,8,-1,59.46986940171983,77.45373959011502,2.1066291597154407,42.37508689032661,42.37508689032661,0.09999999999999999,0.09873152044084338,564.1257866753472,-1,,,,,,,,,
3,8,-1,,,,,,,,,-1,3.0,55.92331504821777,91.12479782104492,2.125922918319702,37.69742965698242,37.69742965698242,0.1,0.09486903548240662,527.5881958007812
3,8,-1,58.78300433688693,76.59883795844183,2.0852195421854653,37.7196299235026,37.7196299235026,0.09999999999999999,0.09643197192086114,515.9769897460938,-1,,,,,,,,,
4,8,-1,,,,,,,,,-1,4.0,55.382896423339844,89.71150207519531,2.08079731464386,28.876924514770508,28.876924514770508,0.1,0.09034079909324647,437.36167907714844
4,8,-1,58.159686194525825,74.41288587782118,2.046789699130588,31.168395148383247,31.168395148383247,0.09999999999999999,0.09495188527637059,447.6017422146267,-1,,,,,,,,,
5,8,-1,,,,,,,,,-1,5.0,55.08073806762695,87.83367919921875,2.0851709842681885,22.176505088806152,22.176505088806152,0.1,0.08722725212574006,368.1728973388672
5,8,-1,57.75623024834527,73.21545622083876,2.0296741326649985,26.580350663926865,26.580350663926865,0.09999999999999999,0.09078986710972256,400.10017564561633,-1,,,,,,,,,
6,8,-1,,,,,,,,,-1,6.0,54.82527542114258,87.58015823364258,2.0688024759292603,19.803967475891113,19.803967475891113,0.1,0.08756143450737,343.9291076660156
6,8,-1,57.46547656589084,72.38596386379666,2.0166632069481745,21.146637386745876,21.146637386745876,0.09999999999999999,0.09005698561668396,344.63839043511285,-1,,,,,,,,,
7,8,-1,,,,,,,,,-1,7.0,54.661075592041016,86.53176498413086,2.0391987562179565,17.09700584411621,17.09700584411621,0.1,0.08743198812007905,315.63291931152344
7,8,-1,57.254994286431206,70.53545761108398,1.995981322394477,16.52199278937446,16.52199278937446,0.09999999999999999,0.08727729320526123,296.3257751464844,-1,,,,,,,,,
8,8,-1,,,,,,,,,-1,8.0,54.63555335998535,85.58541107177734,2.0334880352020264,11.280043601989746,11.280043601989746,0.1,0.08941404819488526,256.51025390625
8,8,-1,57.13840654161241,69.90719816419814,1.9839351839489408,14.337039841545952,14.337039841545952,0.09999999999999999,0.08646172483762106,273.742674085829,-1,,,,,,,,,
9,8,-1,,,,,,,,,-1,9.0,54.70631217956543,84.43099975585938,2.0229389667510986,9.590687274932861,9.590687274932861,0.1,0.08858638405799867,238.55081939697266
9,8,-1,57.13628726535373,68.68276256985135,1.9826146761576335,10.79425440894233,10.79425440894233,0.09999999999999999,0.09224615825547113,237.12154981825086,-1,,,,,,,,,
10,8,-1,,,,,,,,,-1,10.0,54.85386085510254,83.26495742797852,2.0110740661621094,6.977654695510864,6.977654695510864,0.1,0.09189443588256836,211.4197235107422
10,8,-1,57.219671885172524,67.76327641805013,1.9740798473358154,8.937023374769423,8.937023374769423,0.09999999999999999,0.0891068908903334,217.73072814941406,-1,,,,,,,,,
11,8,-1,,,,,,,,,-1,11.0,54.973976135253906,82.54984474182129,2.0338162183761597,6.821963548660278,6.821963548660278,0.1,0.09633402526378632,209.32390594482422
11,8,-1,57.32435268825955,66.73828760782878,1.9450835916731093,7.452352682749431,7.452352682749431,0.09999999999999999,0.09743307232856752,201.9709218343099,-1,,,,,,,,,
12,8,-1,,,,,,,,,-1,12.0,55.07802772521973,80.79854202270508,1.9845618605613708,5.07304835319519,5.07304835319519,0.1,0.09444628655910492,190.16324615478516
12,8,-1,57.41516240437826,65.9176491631402,1.952315502696567,7.023363643222385,7.023363643222385,0.09999999999999999,0.09526108768251208,196.98441399468317,-1,,,,,,,,,
13,8,-1,,,,,,,,,-1,13.0,55.34426307678223,80.32828140258789,1.9989543557167053,4.857596397399902,4.857596397399902,0.1,0.10481219291687012,187.84474182128906
