epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,13.509491920471191,71.51585176255968,1.4777777327431574,8.083613766564262,8.083613766564262,0.09999999999999999,0.06900399459732903,170.47061326768664,-1,,,,,,,,,
1,8,-1,,,,,,,,,-1,1.0,13.568518161773682,85.38101577758789,1.4834097623825073,6.414709091186523,6.414709091186523,0.1,0.06382481753826141,167.6507797241211
1,8,-1,13.540860388014051,71.24853854709201,1.4789241949717205,7.359515190124512,7.359515190124512,0.09999999999999999,0.06732053558031718,162.9682871500651,-1,,,,,,,,,
2,8,-1,,,,,,,,,-1,1.0,13.647275924682617,84.92899322509766,1.4662549495697021,6.65159273147583,6.65159273147583,0.1,0.06001224517822266,169.57736206054688
2,8,-1,13.611240280999077,69.90842988755968,1.460280974706014,6.820869180891249,6.820869180891249,0.09999999999999999,0.06320363150702583,156.23695543077258,-1,,,,,,,,,
3,8,-1,,,,,,,,,-1,3.0,13.72023344039917,83.11119842529297,1.4310381412506104,5.744893550872803,5.744893550872803,0.1,0.05628228187561035,158.69612884521484
3,8,-1,13.67849244011773,68.86312866210938,1.4397645129097834,6.261082225375706,6.261082225375706,0.09999999999999999,0.05896815723843044,149.59432305230035,-1,,,,,,,,,
4,8,-1,,,,,,,,,-1,4.0,13.761294841766357,81.90048789978027,1.399462878704071,4.52725887298584,4.52725887298584,0.1,0.05001614540815354,145.2770767211914
4,8,-1,13.721537801954481,67.89487584431966,1.4232651789983113,5.541696018642849,5.541696018642849,0.09999999999999999,0.05410524242454105,141.44166988796658,-1,,,,,,,,,
5,8,-1,,,,,,,,,-1,4.0,13.74379587173462,80.80366325378418,1.3543331027030945,5.135881423950195,5.135881423950195,0.1,0.04413302540779114,150.20626068115234
5,8,-1,13.745849079555935,66.59419462415907,1.383367485470242,4.955500549740261,4.955500549740261,0.09999999999999999,0.04890320400396983,134.2214152018229,-1,,,,,,,,,
6,8,-1,,,,,,,,,-1,6.0,13.691263198852539,79.62152862548828,1.3344671726226807,4.6642714738845825,4.6642714738845825,0.1,0.0466539278626442,144.27952194213867
6,8,-1,13.714331838819716,65.91486570570204,1.3662186993492975,4.389841768476698,4.389841768476698,0.09999999999999999,0.04791944225629172,127.86239454481337,-1,,,,,,,,,
7,8,-1,,,,,,,,,-1,7.0,13.639234066009521,78.75669860839844,1.314769983291626,4.088510870933533,4.088510870933533,0.1,0.04491003006696702,137.62162399291992
7,8,-1,13.667471885681152,64.70011901855469,1.3640208774142795,3.9318515989515515,3.9318515989515515,0.09999999999999999,0.0482462634642919,122.058839586046,-1,,,,,,,,,
8,8,-1,,,,,,,,,-1,8.0,13.60635757446289,77.65010070800781,1.3021597862243652,3.950029492378235,3.950029492378235,0.1,0.04805870056152344,135.09979629516602
8,8,-1,13.627796173095703,64.00020048353407,1.35844710138109,3.840443346235487,3.840443346235487,0.09999999999999999,0.04765034450425042,120.43116505940755,-1,,,,,,,,,
9,8,-1,,,,,,,,,-1,9.0,13.583225727081299,76.91031074523926,1.2934567332267761,3.6455107927322388,3.6455107927322388,0.1,0.047002758085727694,131.2825584411621
9,8,-1,13.61107752058241,63.50128640068902,1.342726747194926,3.258726861741808,3.258726861741808,0.09999999999999999,0.05385899080170526,114.08624013264973,-1,,,,,,,,,
10,8,-1,,,,,,,,,-1,10.0,13.55473279953003,76.41999435424805,1.3097012639045715,2.72865891456604,2.72865891456604,0.1,0.04756840318441391,121.62140655517578
10,8,-1,13.587424278259277,62.51986524793837,1.3281117810143366,3.0959377818637424,3.0959377818637424,0.09999999999999999,0.049801300962766006,111.44351874457465,-1,,,,,,,,,
11,8,-1,,,,,,,,,-1,11.0,13.528251647949219,74.67442321777344,1.2919930815696716,2.565937638282776,2.565937638282776,0.1,0.04965813606977463,118.21346664428711
11,8,-1,13.568441496955025,61.44028642442491,1.3031943109300401,2.8115273316701255,2.8115273316701255,0.09999999999999999,0.05512927638159858,107.48627132839627,-1,,,,,,,,,
12,8,-1,,,,,,,,,-1,12.0,13.50426721572876,74.1479549407959,1.284550130367279,2.4600772857666016,2.4600772857666016,0.1,0.05458894073963166,116.60836791992188
12,8,-1,13.547884517245823,61.35060246785482,1.3400941557354398,2.4935432804955378,2.4935432804955378,0.09999999999999999,0.05327483349376255,104.23925272623698,-1,,,,,,,,,
13,8,-1,,,,,,,,,-1,13.0,13.473242282867432,74.3318099975586,1.2786584496498108,2.365301012992859,2.365301012992859,0.1,0.05285402983427048,115.82210540771484
13,8,-1,13.525645467970106,60.67942470974393,1.3155955606036716,2.177203562524584,2.177203562524584,0.09999999999999999,0.06176253590318892,100.3793707953559,-1,,,,,,,,,
14,8,-1,,,,,,,,,-1,14.0,13.436659336090088,72.81054306030273,1.2714363932609558,1.9556549787521362,1.9556549787521362,0.1,0.05585150718688965,110.19588851928711
14,8,-1,13.498785548739964,60.206868489583336,1.32028243276808,1.9664622677697077,1.9664622677697077,0.09999999999999999,0.054339346951908535,97.79085456000433,-1,,,,,,,,,
15,8,-1,,,,,,,,,-1,15.0,13.3690505027771,72.24576187133789,1.280982792377472,1.5460611581802368,1.5460611581802368,0.1,0.05585084110498428,105.53010177612305
15,8,-1,13.455075369940865,58.80880779690213,1.2977781958050199,1.8571285009384155,1.8571285009384155,0.09999999999999999,0.06510659654935201,95.28647952609592,-1,,,,,,,,,
16,8,-1,,,,,,,,,-1,16.0,13.337384223937988,71.07693862915039,1.2565796375274658,1.3971951007843018,1.3971951007843018,0.1,0.06874262988567353,102.86214065551758
16,8,-1,13.41185220082601,58.62820053100586,1.300669617123074,1.6640621291266546,1.6640621291266546,0.09999999999999999,0.0639576365550359,93.18028852674696,-1,,,,,,,,,
17,8,-1,,,,,,,,,-1,17.0,13.335115432739258,70.5348129272461,1.2671444416046143,1.0682110488414764,1.0682110488414764,0.1,0.06620224416255951,99.02899932861328
17,8,-1,13.39418856302897,58.421312967936196,1.313174433178372,1.5260228978263006,1.5260228978263006,0.09999999999999999,0.06443483034769694,91.60377926296658,-1,,,,,,,,,
18,8,-1,,,,,,,,,-1,18.0,13.312187671661377,70.34722137451172,1.2657840847969055,1.0834109783172607,1.0834109783172607,0.1,0.06572359204292298,98.98214721679688
18,8,-1,13.395746972825792,57.91658698187934,1.3116109636094835,1.388962573475308,1.388962573475308,0.09999999999999999,0.06608517467975616,89.72025214301215,-1,,,,,,,,,
19,8,-1,,,,,,,,,-1,19.0,13.226651191711426,69.11729049682617,1.278149425983429,0.9853749573230743,0.9853749573230743,0.1,0.06467417776584625,96.76895904541016
19,8,-1,13.371323161655003,56.30370669894748,1.2812122503916423,1.1647390127182007,1.1647390127182007,0.09999999999999999,0.07186937199698555,85.84530300564236,-1,,,,,,,,,
20,8,-1,,,,,,,,,-1,20.0,13.198128700256348,67.86763381958008,1.2560313940048218,0.8424855172634125,0.8424855172634125,0.1,0.0774816632270813,94.0359001159668
20,8,-1,13.297135988871256,56.36506991916232,1.3069955772823758,1.1851490338643391,1.1851490338643391,0.09999999999999999,0.06967064109113481,86.09501563178168,-1,,,,,,,,,
21,8,-1,,,,,,,,,-1,21.0,13.17664098739624,67.08963203430176,1.255234718322754,0.6875986158847809,0.6875986158847809,0.1,0.07130175530910493,91.6647834777832
21,8,-1,13.301361083984375,55.508796268039276,1.3042934868070815,1.2420060171021357,1.2420060171021357,0.09999999999999999,0.07407342857784695,85.79000091552734,-1,,,,,,,,,
22,8,-1,,,,,,,,,-1,22.0,13.213202953338623,66.14065170288086,1.248234510421753,0.7365578413009644,0.7365578413009644,0.1,0.07311542630195618,91.17037963867188
