epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,0.0,80.3684450785319,4.950324800279406,4.950324800279406,0.09999999999999999,0.09506949649916757,183.67244466145834,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,0.0,95.33329391479492,4.919597864151001,4.919597864151001,0.1,0.0897766888141632,205.6219482421875
1,8,-1,0.0,79.54691823323567,4.7821376588609485,4.7821376588609485,0.09999999999999999,0.09404175215297277,177.35964965820312,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,0.0,92.04339599609375,4.568439722061157,4.568439722061157,0.1,0.09744657874107361,189.7207260131836
2,8,-1,0.0,76.88889906141493,4.376730892393324,4.376730892393324,0.09999999999999999,0.09414637684822083,163.64152187771268,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,0.0,89.89560317993164,4.320481538772583,4.320481538772583,0.1,0.09593783020973207,177.3421859741211
3,8,-1,0.0,75.79951095581055,4.165184789233738,4.165184789233738,0.09999999999999999,0.0932236499256558,154.9536861843533,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,0.0,88.68283081054688,3.847968816757202,3.847968816757202,0.1,0.08947288095951081,164.62577056884766
4,8,-1,0.0,73.57155058119032,3.8095384968651667,3.8095384968651667,0.09999999999999999,0.08862406346533033,142.9158935546875,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,0.0,86.45172500610352,3.625267744064331,3.625267744064331,0.1,0.08785539269447326,154.9150505065918
5,8,-1,0.0,72.43036270141602,3.564172214931912,3.564172214931912,0.09999999999999999,0.08501907454596627,136.92008039686414,-1,,,,,,,,
