epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,0.0,80.3684450785319,4.950324800279406,4.950324800279406,0.09999999999999999,0.09506949649916757,183.0759735107422,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,0.0,95.33335876464844,4.92231559753418,4.92231559753418,0.1,0.08978307247161865,219.7053680419922
1,8,-1,0.0,79.54696061876085,4.782048914167616,4.782048914167616,0.09999999999999999,0.0940335366461012,176.3694593641493,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,0.0,92.04364013671875,4.5744428634643555,4.5744428634643555,0.1,0.09757700860500336,203.33531951904297
2,8,-1,0.0,76.88915040757921,4.379066096411811,4.379066096411811,0.09999999999999999,0.09416662851969401,163.6188507080078,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,0.0,89.8982048034668,4.32976770401001,4.32976770401001,0.1,0.09626171886920928,188.55750274658203
3,8,-1,0.0,75.80040529039171,4.169010904100206,4.169010904100206,0.09999999999999999,0.09320279492272272,155.08918846978082,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,0.0,88.67970275878906,3.8603519201278687,3.8603519201278687,0.1,0.08943161964416504,172.63339233398438
4,8,-1,0.0,73.57121658325195,3.8147658507029214,3.8147658507029214,0.09999999999999999,0.08876669605573019,138.71180809868707,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,0.0,86.44733428955078,3.6409249305725098,3.6409249305725098,0.1,0.08773752748966218,159.6956787109375
5,8,-1,0.0,72.4286011589898,3.5706994798448353,3.5706994798448353,0.09999999999999999,0.08501597775353327,135.44660101996527,-1,,,,,,,,
6,8,-1,,,,,,,,-1,6.0,0.0,86.04629898071289,3.405403971672058,3.405403971672058,0.1,0.08410878777503968,150.98805236816406
6,8,-1,0.0,71.33067915174696,3.3454381359948053,3.3454381359948053,0.09999999999999999,0.08762045833799574,126.57586076524522,-1,,,,,,,,
7,8,-1,,,,,,,,-1,7.0,0.0,84.97372817993164,3.069911479949951,3.069911479949951,0.1,0.08436799049377441,138.63096237182617
7,8,-1,0.0,69.25180604722765,3.056847254435221,3.056847254435221,0.09999999999999999,0.0877895752588908,117.56927066379123,-1,,,,,,,,
8,8,-1,,,,,,,,-1,8.0,0.0,83.43184280395508,2.927385091781616,2.927385091781616,0.1,0.0901602953672409,130.7967300415039
8,8,-1,0.0,68.35081609090169,2.88154493437873,2.88154493437873,0.09999999999999999,0.08484290639559428,115.53118726942274,-1,,,,,,,,
9,8,-1,,,,,,,,-1,9.0,0.0,82.00186347961426,2.6390442848205566,2.6390442848205566,0.1,0.09383665919303895,122.12290573120117
9,8,-1,0.0,66.94044155544705,2.673917055130005,2.673917055130005,0.09999999999999999,0.09103038244777255,108.62147182888455,-1,,,,,,,,
10,8,-1,,,,,,,,-1,10.0,0.0,80.38199806213379,2.4087462425231934,2.4087462425231934,0.1,0.0953812688589096,115.76436614990234
10,8,-1,0.0,66.00438605414496,2.4600378142462835,2.4600378142462835,0.09999999999999999,0.08917622831132677,105.05791897243924,-1,,,,,,,,
11,8,-1,,,,,,,,-1,11.0,0.0,79.52353096008301,2.2728995084762573,2.2728995084762573,0.1,0.0966337949037552,111.5396957397461
11,8,-1,0.0,64.45508787367079,2.2294277350107827,2.2294277350107827,0.09999999999999999,0.10146174497074553,98.15447319878473,-1,,,,,,,,
12,8,-1,,,,,,,,-1,12.0,0.0,78.16051864624023,2.0204299092292786,2.0204299092292786,0.1,0.09970698356628419,105.21892166137695
12,8,-1,0.0,63.6541493733724,2.0933138529459634,2.0933138529459634,0.09999999999999999,0.09468743205070496,93.71454450819228,-1,,,,,,,,
13,8,-1,,,,,,,,-1,13.0,0.0,77.13248634338379,1.8995827436447144,1.8995827436447144,0.1,0.10844760537147521,101.93055725097656
13,8,-1,0.0,62.303080240885414,1.8713088035583496,1.8713088035583496,0.09999999999999999,0.10227834582328796,89.14796871609158,-1,,,,,,,,
14,8,-1,,,,,,,,-1,14.0,0.0,75.4300708770752,1.6140320301055908,1.6140320301055908,0.1,0.11453693509101869,96.15893173217773
14,8,-1,0.0,61.38111284044054,1.6643169323603313,1.6643169323603313,0.09999999999999999,0.1248779296875,84.64193556043837,-1,,,,,,,,
15,8,-1,,,,,,,,-1,15.0,0.0,75.25849342346191,1.4724730253219604,1.4724730253219604,0.1,0.12433236837387085,93.06620407104492
15,8,-1,0.0,60.812191009521484,1.5853096114264593,1.5853096114264593,0.09999999999999999,0.10967106951607598,80.67575709025066,-1,,,,,,,,
16,8,-1,,,,,,,,-1,16.0,0.0,74.26336479187012,1.29363214969635,1.29363214969635,0.1,0.1423014998435974,89.39787292480469
16,8,-1,0.0,59.501731872558594,1.388722750875685,1.388722750875685,0.09999999999999999,0.13508013288180035,76.05452134874132,-1,,,,,,,,
17,8,-1,,,,,,,,-1,17.0,0.0,72.35376167297363,1.1433932185173035,1.1433932185173035,0.1,0.16413870453834534,85.68646240234375
17,8,-1,0.0,58.462389628092446,1.2321112950642903,1.2321112950642903,0.09999999999999999,0.15645327965418498,72.59831958346896,-1,,,,,,,,
18,8,-1,,,,,,,,-1,18.0,0.0,71.70222282409668,1.0598658323287964,1.0598658323287964,0.1,0.1896135985851288,83.96167373657227
18,8,-1,0.0,57.373071882459854,1.0432130230797663,1.0432130230797663,0.09999999999999999,0.19723655250337388,69.54060957166884,-1,,,,,,,,
19,8,-1,,,,,,,,-1,19.0,0.0,71.2534008026123,0.8670462071895599,0.8670462071895599,0.1,0.22721947431564332,81.63975524902344
19,8,-1,0.0,56.60519282023112,0.9439717332522074,0.9439717332522074,0.09999999999999999,0.21027100616031225,67.41265614827473,-1,,,,,,,,
20,8,-1,,,,,,,,-1,20.0,0.0,70.39215278625488,0.7036563754081726,0.7036563754081726,0.1,0.2922202587127686,79.11616706848145
20,8,-1,0.0,55.749534606933594,0.8244012130631341,0.8244012130631341,0.09999999999999999,0.26542887224091427,65.32503297593858,-1,,,,,,,,
21,8,-1,,,,,,,,-1,21.0,0.0,68.80526733398438,0.556661069393158,0.556661069393158,0.1,0.3670683383941651,76.44214057922363
21,8,-1,0.0,54.597338358561196,0.6110803882280985,0.6110803882280985,0.09999999999999999,0.36335275967915853,62.2619251675076,-1,,,,,,,,
22,8,-1,,,,,,,,-1,22.0,0.0,67.64175605773926,0.4530170261859894,0.4530170261859894,0.1,0.45304126739501954,74.3552474975586
22,8,-1,0.0,53.81866200764974,0.5292078521516588,0.5292078521516588,0.09999999999999999,0.4221527311537001,60.94711600409614,-1,,,,,,,,
23,8,-1,,,,,,,,-1,23.0,0.0,66.28718376159668,0.360017329454422,0.360017329454422,0.1,0.5383692741394043,71.54737854003906
23,8,-1,0.0,53.62866020202637,0.5805125931898752,0.5805125931898752,0.09999999999999999,0.36722550259696113,60.970337337917755,-1,,,,,,,,
24,8,-1,,,,,,,,-1,24.0,0.0,65.27725219726562,0.29337799549102783,0.29337799549102783,0.1,0.6160135507583618,69.6712589263916
24,8,-1,0.0,52.548128339979385,0.4526425384812885,0.4526425384812885,0.09999999999999999,0.5132529338200887,58.5942136976454,-1,,,,,,,,
25,8,-1,,,,,,,,-1,25.0,0.0,63.9130802154541,0.2845122963190079,0.2845122963190079,0.1,0.666152834892273,68.16254234313965
