epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,60.73538462320963,80.28740607367621,2.151050885518392,55.03390121459961,55.03390121459961,0.09999999999999999,0.10882420672310723,889.9218546549479,-1,,,,,,,,,
1,8,-1,,,,,,,,,-1,1.0,57.43220520019531,95.90018081665039,2.1815818548202515,48.030771255493164,48.030771255493164,0.1,0.10223295092582704,750.8938598632812
1,8,-1,60.24573644002279,79.66092681884766,2.1325258678860135,51.0874515109592,51.0874515109592,0.09999999999999999,0.10483785867691038,811.1684095594618,-1,,,,,,,,,
2,8,-1,,,,,,,,,-1,2.0,56.445966720581055,93.17002487182617,2.130152106285095,42.30222511291504,42.30222511291504,0.1,0.0978214830160141,657.1729736328125
2,8,-1,59.35237079196506,77.46288723415799,2.106826835208469,42.437261793348526,42.437261793348526,0.09999999999999999,0.0986766729089949,661.8139173719618,-1,,,,,,,,,
3,8,-1,,,,,,,,,-1,3.0,55.63827323913574,91.18459701538086,2.1264156103134155,37.746782302856445,37.746782302856445,0.1,0.09433904588222505,584.9898986816406
3,8,-1,58.57759221394857,76.62270779079861,2.0855559508005777,37.831738789876304,37.831738789876304,0.09999999999999999,0.09617669979731243,580.2845594618055,-1,,,,,,,,,
4,8,-1,,,,,,,,,-1,4.0,54.958234786987305,89.77715301513672,2.080785393714905,28.880894660949707,28.880894660949707,0.1,0.08964068889617921,480.22412109375
4,8,-1,57.843847062852646,74.4640023973253,2.046971665488349,31.263753255208332,31.263753255208332,0.09999999999999999,0.09440427687433031,487.8279113769531,-1,,,,,,,,,
5,8,-1,,,,,,,,,-1,5.0,54.50837707519531,87.87138748168945,2.084400177001953,22.18086814880371,22.18086814880371,0.1,0.08662413656711579,410.6394805908203
5,8,-1,57.309928470187714,73.25744416978624,2.0292083422342935,26.66895082261827,26.66895082261827,0.09999999999999999,0.0903663562403785,429.9865010579427,-1,,,,,,,,,
6,8,-1,,,,,,,,,-1,6.0,54.126840591430664,87.64111328125,2.0673272609710693,19.87427043914795,19.87427043914795,0.1,0.0871947705745697,388.8663330078125
6,8,-1,56.88944753011068,72.42095353868272,2.015518453386095,21.273587968614365,21.273587968614365,0.09999999999999999,0.08971300125122073,369.3688320583767,-1,,,,,,,,,
7,8,-1,,,,,,,,,-1,7.0,53.88914680480957,86.61013793945312,2.037315011024475,17.19263744354248,17.19263744354248,0.1,0.08704360127449036,368.0980224609375
7,8,-1,56.588309393988716,70.59639019436307,1.994207739830017,16.662122514512802,16.662122514512802,0.09999999999999999,0.0869154731432597,320.0411783854167,-1,,,,,,,,,
8,8,-1,,,,,,,,,-1,8.0,53.87125587463379,85.64897918701172,2.03054678440094,11.402810096740723,11.402810096740723,0.1,0.08893564939498902,311.80393981933594
8,8,-1,56.43795733981662,69.96708594428168,1.9815575546688504,14.468587557474772,14.468587557474772,0.09999999999999999,0.08598321874936422,303.96998426649304,-1,,,,,,,,,
9,8,-1,,,,,,,,,-1,9.0,54.01420783996582,84.48584365844727,2.019741177558899,9.727179527282715,9.727179527282715,0.1,0.08737005591392519,309.2242736816406
9,8,-1,56.47287072075738,68.71783955891927,1.9799873563978407,10.962326367696127,10.962326367696127,0.09999999999999999,0.09112629757987128,271.17066446940106,-1,,,,,,,,,
10,8,-1,,,,,,,,,-1,10.0,54.304636001586914,83.31427764892578,2.007236957550049,7.071228981018066,7.071228981018066,0.1,0.09081577360630036,276.34314727783203
10,8,-1,56.65215852525499,67.79129240247939,1.9708005057440863,9.082611295912,9.082611295912,0.09999999999999999,0.0880404485596551,259.2490013970269,-1,,,,,,,,,
11,8,-1,,,,,,,,,-1,11.0,54.597904205322266,82.56939125061035,2.029773712158203,6.93048620223999,6.93048620223999,0.1,0.09472784399986267,272.03592681884766
