epoch,batch,trial,tr_loss_y_kl,tr_loss_classifier,tr_loss_reconstruction,tr_kl_weight,tr_loss_kl,tr_loss,dataset,best_val_epoch,val_loss_y_kl,val_loss_classifier,val_loss_reconstruction,val_kl_weight,val_loss_kl,val_loss
0,442,-1,1.3483858751107576,48.46242645470337,24.45362181480528,0.10000000000000081,0.2771225244143209,74.54155667494041,-1,,,,,,,
1,442,-1,,,,,,,-1,1.0,0.9395216364388886,29.257671513508274,22.635447433314372,0.09999999999999981,0.08001195209235262,52.91265253679407
1,442,-1,,,,,,,0,1.0,0.8431609913918023,104.1301082611084,21.88388862609863,0.09999999999999999,0.07657423496246338,126.93373211512592
1,442,-1,,,,,,,1,1.0,0.6898319765349243,43.31147257486979,23.17370859781901,0.10000000000000003,0.06378178166018593,67.23879493282934
1,442,-1,,,,,,,2,1.0,1.143964999215002,15.052013690655048,23.273507338303787,0.1,0.07072765391606552,39.54021368326481
1,442,-1,,,,,,,3,1.0,1.0403657411351006,6.830693926130023,21.975751059395925,0.10000000000000005,0.09212476674999512,29.938935494661685
1,442,-1,,,,,,,4,1.0,0.9386866964802741,22.50539071219308,22.92129053388323,0.10000000000000005,0.08387114155505383,46.44923908549531
1,442,-1,1.1338905227261526,42.09841720029947,24.179906862314883,0.10000000000000081,0.10051556888875254,67.5127301560507,-1,,,,,,,
2,442,-1,,,,,,,-1,2.0,0.8328460409992668,28.098509523057444,21.407013431037825,0.09999999999999981,0.12642934930693242,50.464798346429234
2,442,-1,,,,,,,0,2.0,0.7901570452567083,100.90564651489258,20.85640983581543,0.09999999999999999,0.1171314948797226,122.66934489255807
2,442,-1,,,,,,,1,2.0,0.6335329689829863,40.4922849867079,22.075527085198296,0.10000000000000003,0.11263016594780817,63.31397520886521
2,442,-1,,,,,,,2,2.0,1.0538141099666969,15.511302947998047,21.784245564387394,0.1,0.13966981722758368,38.489032442445335
2,442,-1,,,,,,,3,2.0,0.8769760311202447,6.239042554582868,20.45875542504447,0.10000000000000005,0.13825785379324643,27.713031866962275
2,442,-1,,,,,,,4,2.0,0.8294996350619316,21.83206067766462,21.947013310023717,0.10000000000000005,0.12064505059804234,44.729218674705386
2,442,-1,1.360607456259123,37.2299955294848,22.80878315014979,0.10000000000000081,0.14068590827101238,61.54007204694228,-1,,,,,,,
3,442,-1,,,,,,,-1,3.0,1.7699004157528477,23.237770198546734,20.639321749972314,0.09999999999999981,0.17127796509831225,45.818270331851174
3,442,-1,,,,,,,0,3.0,1.5661707831100562,88.14354782104492,20.239252853393555,0.09999999999999999,0.1577894514799118,110.10676091141264
3,442,-1,,,,,,,1,3.0,1.5485015919635439,33.128900316026474,21.04087840186225,0.10000000000000003,0.17054100053177942,55.88882131257783
3,442,-1,,,,,,,2,3.0,2.1806699025211462,10.25230965247521,20.88311474139874,0.1,0.18973512557836683,33.50582942701693
3,442,-1,,,,,,,3,3.0,1.6890542431484483,4.673852103097098,19.70362819944109,0.10000000000000005,0.18125366749508043,26.247788215470113
3,442,-1,,,,,,,4,3.0,1.8751205821660835,18.291433606828964,21.34656388419015,0.10000000000000005,0.15802395599228997,41.67114203088046
3,442,-1,1.656141031917084,33.98703676421809,21.83523268947214,0.10000000000000081,0.17874280500223613,57.65715329370584,-1,,,,,,,
4,442,-1,,,,,,,-1,4.0,2.3766403744191322,21.65962734419046,20.144620482454595,0.09999999999999981,0.17456449789484746,44.35545270143231
4,442,-1,,,,,,,0,4.0,2.031221255521685,83.27836380004882,19.960942459106445,0.09999999999999999,0.15509150743484498,105.42561902613511
4,442,-1,,,,,,,1,4.0,2.550573383424938,28.171990712483723,20.353158950805664,0.10000000000000003,0.17803316016991932,51.25375621069232
4,442,-1,,,,,,,2,4.0,2.745327745752319,14.140805464524488,20.41835124676044,0.1,0.18172487845787633,37.48620933721449
4,442,-1,,,,,,,3,4.0,2.243108091204166,4.737925938197544,19.226300716400146,0.10000000000000005,0.17778704805033546,26.385121795209262
4,442,-1,,,,,,,4,4.0,2.3505462719033345,15.878999437604632,20.867389815194265,0.10000000000000005,0.17274227046540808,39.269677797695515
4,442,-1,2.5503103378829453,28.519803466430904,21.186293513726433,0.10000000000000081,0.20150296499713008,52.45791028652386,-1,,,,,,,
5,442,-1,,,,,,,-1,5.0,2.31957805453093,21.512733577452984,19.92313738950749,0.09999999999999981,0.17666953636198934,43.93211856101029
5,442,-1,,,,,,,0,5.0,1.9428472299716257,85.74365463256837,19.849878311157227,0.09999999999999999,0.15378789305686952,107.69016806973431
5,442,-1,,,,,,,1,5.0,2.398652852815973,28.460894266764324,20.042788823445637,0.10000000000000003,0.18112775981426238,51.08346370710359
5,442,-1,,,,,,,2,5.0,2.738337552103959,11.012770139254057,20.039991818941555,0.1,0.19145082693833573,33.9825503399889
5,442,-1,,,,,,,3,5.0,2.1870861999774602,5.590571812220982,19.06948048727853,0.10000000000000005,0.18261430795703615,27.029752810520677
5,442,-1,,,,,,,4,5.0,2.3413587807991463,14.90358897617885,20.671785627092635,0.10000000000000005,0.16916803738900596,38.085901424226996
5,442,-1,2.9001531819502637,28.535775758342872,20.708575892394606,0.10000000000000081,0.214989305941838,52.3594941431672,-1,,,,,,,
6,442,-1,,,,,,,-1,6.0,2.720193833098782,20.51456534002245,19.724340694466818,0.09999999999999981,0.18996467172485032,43.149064541386785
6,442,-1,,,,,,,0,6.0,2.3080933121212803,83.32306594848633,19.679333877563476,0.09999999999999999,0.1647453051805496,105.47523844513975
6,442,-1,,,,,,,1,6.0,2.8866501864326146,24.994307200113933,19.742612838745117,0.10000000000000003,0.20165538324250118,47.82522561110047
6,442,-1,,,,,,,2,6.0,3.2007640689537005,10.377847231351412,19.81363868713379,0.1,0.2103599039407877,33.602609890921194
6,442,-1,,,,,,,3,6.0,2.5088460036792877,5.295406886509487,18.932544095175608,0.10000000000000005,0.1898563717092787,26.926653359734583
