epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_loss_y_kl_uniform,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_loss_y_kl_uniform,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,60.73538462320963,80.28740607367621,2.151050885518392,55.03390121459961,55.03390121459961,0.09999999999999999,0.10882420672310723,701.4736802842882,-1,,,,,,,,,
1,8,-1,,,,,,,,,-1,1.0,57.52999496459961,95.89826202392578,2.181622862815857,48.019561767578125,48.019561767578125,0.1,0.10222949385643006,641.1298217773438
1,8,-1,60.29702504475912,79.66058773464627,2.132540782292684,51.05531904432509,51.05531904432509,0.09999999999999999,0.10479749838511149,659.4789360894097,-1,,,,,,,,,
2,8,-1,,,,,,,,,-1,2.0,56.63210105895996,93.15662384033203,2.1298329830169678,42.21885681152344,42.21885681152344,0.1,0.09789007902145386,578.5125122070312
2,8,-1,59.4730110168457,77.45382817586263,2.1066273848215737,42.37479231092665,42.37479231092665,0.09999999999999999,0.09873153964678445,567.7752956814236,-1,,,,,,,,,
3,8,-1,,,,,,,,,-1,3.0,55.92181968688965,91.12821960449219,2.1257474422454834,37.699378967285156,37.699378967285156,0.1,0.09496266543865203,529.6083679199219
3,8,-1,58.783512115478516,76.59959411621094,2.085171196195814,37.71856180826823,37.71856180826823,0.09999999999999999,0.0964577893416087,518.3661397298177,-1,,,,,,,,,
4,8,-1,,,,,,,,,-1,4.0,55.371986389160156,89.7162094116211,2.0807223320007324,28.872363090515137,28.872363090515137,0.1,0.09031152427196504,438.6179962158203
4,8,-1,58.152777353922524,74.41568925645616,2.046645482381185,31.165905634562176,31.165905634562176,0.09999999999999999,0.09501130713356866,448.96094767252606,-1,,,,,,,,,
5,8,-1,,,,,,,,,-1,5.0,55.05792808532715,87.8390007019043,2.0851012468338013,22.17467498779297,22.17467498779297,0.1,0.08720678091049194,369.2262878417969
5,8,-1,57.73958375718858,73.21855375501845,2.029619296391805,26.576346079508465,26.576346079508465,0.09999999999999999,0.09077165987756518,400.9136793348524,-1,,,,,,,,,
6,8,-1,,,,,,,,,-1,6.0,54.79040336608887,87.57367324829102,2.0687438249588013,19.81001091003418,19.81001091003418,0.1,0.08746790289878845,344.9049987792969
6,8,-1,57.43774710761176,72.38993962605794,2.0165626075532703,21.149195777045357,21.149195777045357,0.09999999999999999,0.09004376398192511,345.0801764594184,-1,,,,,,,,,
7,8,-1,,,,,,,,,-1,7.0,54.61416816711426,86.52850723266602,2.0389944314956665,17.10960102081299,17.10960102081299,0.1,0.08737932741641999,316.78636169433594
7,8,-1,57.21662267049154,70.53081385294597,1.9959132803810968,16.529514206780327,16.529514206780327,0.09999999999999999,0.0871887054708269,296.6090257432726,-1,,,,,,,,,
8,8,-1,,,,,,,,,-1,8.0,54.578847885131836,85.60621643066406,2.0333030223846436,11.293185710906982,11.293185710906982,0.1,0.08942459821701051,257.73473358154297
8,8,-1,57.090073903401695,69.92027282714844,1.9836855861875746,14.345208485921225,14.345208485921225,0.09999999999999999,0.08653072781032987,274.1534152560764,-1,,,,,,,,,
9,8,-1,,,,,,,,,-1,9.0,54.64112663269043,84.43731689453125,2.0227549076080322,9.622593879699707,9.622593879699707,0.1,0.08836217224597931,240.6681671142578
9,8,-1,57.0801027086046,68.68885548909505,1.982495837741428,10.810654958089193,10.810654958089193,0.09999999999999999,0.09204966425895693,237.66512383355035,-1,,,,,,,,,
10,8,-1,,,,,,,,,-1,10.0,54.77865982055664,83.27591133117676,2.0107078552246094,6.996995210647583,6.996995210647583,0.1,0.09182701408863067,213.24400329589844
10,8,-1,57.155436197916664,67.76325437757704,1.9738307264116075,8.952151245541042,8.952151245541042,0.09999999999999999,0.0888999276691013,218.59467569986978,-1,,,,,,,,,
11,8,-1,,,,,,,,,-1,11.0,54.89017105102539,82.56826591491699,2.033353805541992,6.837360858917236,6.837360858917236,0.1,0.09642289876937868,211.26881408691406
11,8,-1,57.251780615912544,66.7553939819336,1.9446231921513875,7.463427861531575,7.463427861531575,0.09999999999999999,0.09749302003118726,202.67861090766058,-1,,,,,,,,,
12,8,-1,,,,,,,,,-1,12.0,54.98653030395508,80.80906677246094,1.984181523323059,5.0905163288116455,5.0905163288116455,0.1,0.09436111450195313,192.30736541748047
12,8,-1,57.33564249674479,65.93072085910373,1.9518382681740656,7.026720894707574,7.026720894707574,0.09999999999999999,0.09530656470192804,197.7674034966363,-1,,,,,,,,,
13,8,-1,,,,,,,,,-1,13.0,55.24396514892578,80.3393611907959,1.9985416531562805,4.876927375793457,4.876927375793457,0.1,0.10467332601547241,189.626220703125
13,8,-1,57.46755684746636,64.73871654934354,1.9433412419425116,6.029363049401177,6.029363049401177,0.09999999999999999,0.09785587324036493,186.85595194498697,-1,,,,,,,,,
14,8,-1,,,,,,,,,-1,14.0,55.3721809387207,78.48443412780762,1.9748701453208923,4.189910888671875,4.189910888671875,0.1,0.1052457720041275,180.84789276123047
14,8,-1,57.65777672661675,64.07925923665364,1.9239463143878512,4.561258422003852,4.561258422003852,0.09999999999999999,0.11690019302897985,171.6969028049045,-1,,,,,,,,,
15,8,-1,,,,,,,,,-1,15.0,55.44608688354492,78.70924377441406,2.0050182938575745,4.056800127029419,4.056800127029419,0.1,0.11420260667800905,179.79757690429688
15,8,-1,57.73454920450846,62.844527350531685,1.924233489566379,4.533433225419786,4.533433225419786,0.09999999999999999,0.10756252143118117,170.36383226182727,-1,,,,,,,,,
16,8,-1,,,,,,,,,-1,16.0,55.4435977935791,77.51948356628418,1.9676777124404907,3.22597074508667,3.22597074508667,0.1,0.11788327097892762,170.05989837646484
16,8,-1,57.76924090915256,62.09931776258681,1.9222098588943481,3.685785823398166,3.685785823398166,0.09999999999999999,0.12272842658890618,161.24258761935764,-1,,,,,,,,,
17,8,-1,,,,,,,,,-1,17.0,55.39090538024902,75.47298431396484,1.9914509654045105,2.973415970802307,2.973415970802307,0.1,0.1260278880596161,165.3991928100586
17,8,-1,57.72243287828233,61.216495513916016,1.9190442032284207,3.02170729637146,3.02170729637146,0.09999999999999999,0.12991443143950565,153.73568047417535,-1,,,,,,,,,
18,8,-1,,,,,,,,,-1,18.0,55.192914962768555,75.43824768066406,1.9970199465751648,2.9600647687911987,2.9600647687911987,0.1,0.1278863310813904,164.91333770751953
18,8,-1,57.62053977118598,60.1740665435791,1.9276598294576008,3.0498527420891657,3.0498527420891657,0.09999999999999999,0.1362616221110026,152.9704157511393,-1,,,,,,,,,
19,8,-1,,,,,,,,,-1,19.0,55.007144927978516,74.62951850891113,1.9616705179214478,3.0489529371261597,3.0489529371261597,0.1,0.13215282559394836,164.75020599365234
19,8,-1,57.43024232652452,59.22477722167969,1.9193326897091336,2.707714835802714,2.707714835802714,0.09999999999999999,0.13602499299579196,148.29012722439236,-1,,,,,,,,,
20,8,-1,,,,,,,,,-1,20.0,54.90949249267578,74.9267692565918,1.9717891812324524,2.489172875881195,2.489172875881195,0.1,0.1466193377971649,159.11991119384766
20,8,-1,57.30619557698568,58.71740171644423,1.9260760015911527,2.4299024873309665,2.4299024873309665,0.09999999999999999,0.15498283041848077,144.7627682156033,-1,,,,,,,,,
21,8,-1,,,,,,,,,-1,21.0,54.749834060668945,72.9172420501709,1.9674612283706665,2.296468496322632,2.296468496322632,0.1,0.14078499674797057,155.0859375
21,8,-1,57.1903207567003,57.46678331163194,1.9071694612503052,2.2653063668145075,2.2653063668145075,0.09999999999999999,0.16456584003236563,141.77214558919272,-1,,,,,,,,,
22,8,-1,,,,,,,,,-1,22.0,54.533334732055664,72.3162670135498,1.9850037097930908,2.0918253660202026,2.0918253660202026,0.1,0.15044432878494263,152.0147247314453
22,8,-1,57.025823805067276,56.74926418728299,1.9246904585096571,2.103218926323785,2.103218926323785,0.09999999999999999,0.1602831893497043,139.29074350992838,-1,,,,,,,,,
23,8,-1,,,,,,,,,-1,23.0,54.41440010070801,71.03760147094727,1.958527684211731,1.7282361388206482,1.7282361388206482,0.1,0.17086286544799806,146.5384521484375
23,8,-1,56.874728732638886,56.66642740037706,1.9133714437484741,2.720298647880554,2.720298647880554,0.09999999999999999,0.14510979586177403,144.911749098036,-1,,,,,,,,,
24,8,-1,,,,,,,,,-1,24.0,54.305660247802734,70.80614471435547,1.9598717093467712,1.677889108657837,1.677889108657837,0.1,0.17707605957984923,145.39198303222656
24,8,-1,56.76822492811415,55.82600890265571,1.910447597503662,2.3062744405534534,2.3062744405534534,0.09999999999999999,0.17517582045661081,139.5400153266059,-1,,,,,,,,,
25,8,-1,,,,,,,,,-1,25.0,54.114036560058594,70.10319709777832,1.9610599279403687,1.7103229761123657,1.7103229761123657,0.1,0.1748506546020508,144.78739166259766
25,8,-1,56.61936399671767,55.17154757181803,1.9096052116817899,2.2145367198520236,2.2145367198520236,0.09999999999999999,0.17026455534829035,137.73050011528863,-1,,,,,,,,,
26,8,-1,,,,,,,,,-1,26.0,53.941450119018555,69.32183074951172,1.9647361636161804,1.6866930723190308,1.6866930723190308,0.1,0.17942646741867066,143.46600723266602
26,8,-1,56.45753309461806,54.696195390489365,1.9156326452891033,2.2333989673190646,2.2333989673190646,0.09999999999999999,0.1724738438924154,137.20183308919272,-1,,,,,,,,,
27,8,-1,,,,,,,,,-1,27.0,53.77131462097168,69.17863464355469,1.970704436302185,1.5791068077087402,1.5791068077087402,0.1,0.18872055411338806,142.04098510742188
27,8,-1,56.30632188585069,54.60495969984267,1.9077317979600694,2.1597610314687095,2.1597610314687095,0.09999999999999999,0.16813143889109294,136.11904652913412,-1,,,,,,,,,
28,8,-1,,,,,,,,,-1,28.0,53.612911224365234,68.6946964263916,1.9600311517715454,1.4758973121643066,1.4758973121643066,0.1,0.18887097239494324,140.3140525817871
28,8,-1,56.19152323404948,53.53961711459689,1.9207973215315077,2.1624674002329507,2.1624674002329507,0.09999999999999999,0.19484737714131675,134.93986087375217,-1,,,,,,,,,
29,8,-1,,,,,,,,,-1,28.0,53.339073181152344,68.64316368103027,1.9680690169334412,1.8167127966880798,1.8167127966880798,0.1,0.18222292661666872,143.35009384155273
29,8,-1,56.00020429823134,52.91649945576986,1.912704308827718,1.8708860476811726,1.8708860476811726,0.09999999999999999,0.19203120999866063,131.148685031467,-1,,,,,,,,,
30,8,-1,,,,,,,,,-1,30.0,53.18015480041504,67.27835655212402,1.9345924854278564,1.5517310500144958,1.5517310500144958,0.1,0.1909808695316315,139.10935592651367
30,8,-1,55.81355285644531,53.080078548855255,1.9122026364008586,1.6615496608946059,1.6615496608946059,0.09999999999999999,0.18289259804619684,129.00089094373914,-1,,,,,,,,,
31,8,-1,,,,,,,,,-1,31.0,53.01167678833008,66.70394897460938,1.9550602436065674,1.3995431065559387,1.3995431065559387,0.1,0.20695022344589234,136.87193298339844
31,8,-1,55.66244888305664,52.920628017849396,1.9135934114456177,1.9734465678532918,1.9734465678532918,0.09999999999999999,0.17288524972067937,131.7778260972765,-1,,,,,,,,,
32,8,-1,,,,,,,,,-1,32.0,52.858999252319336,66.87506866455078,1.9744435548782349,1.3488160371780396,1.3488160371780396,0.1,0.21771274805068971,136.40223693847656
32,8,-1,55.542533026801216,51.468454360961914,1.9097294674979315,1.4514825079176161,1.4514825079176161,0.09999999999999999,0.21873023377524486,124.99764506022136,-1,,,,,,,,,
33,8,-1,,,,,,,,,-1,33.0,52.551069259643555,66.1675796508789,1.9749984741210938,1.3619686961174011,1.3619686961174011,0.1,0.21122752428054808,135.52367401123047
33,8,-1,55.33543014526367,51.016747368706596,1.9116561545266046,1.5466108189688788,1.5466108189688788,0.09999999999999999,0.2186827646361457,125.30745527479384,-1,,,,,,,,,
34,8,-1,,,,,,,,,-1,34.0,52.30099868774414,65.7402400970459,1.9504474401474,1.3489837944507599,1.3489837944507599,0.1,0.20722224712371828,134.70134735107422
34,8,-1,55.092952728271484,50.86349656846788,1.9111710919274225,1.5503885878456964,1.5503885878456964,0.09999999999999999,0.23137553400463526,124.96097225613065,-1,,,,,,,,,
35,8,-1,,,,,,,,,-1,34.0,52.04578971862793,66.02933883666992,1.9672199487686157,1.510347068309784,1.510347068309784,0.1,0.20870618224143983,136.3632469177246
35,8,-1,54.86447525024414,50.90962600708008,1.9082745711008708,1.6987905899683635,1.6987905899683635,0.09999999999999999,0.21691895723342897,126.22826894124348,-1,,,,,,,,,
36,8,-1,,,,,,,,,-1,36.0,51.922088623046875,65.04102516174316,1.9584304094314575,1.3252408504486084,1.3252408504486084,0.1,0.21766390800476076,133.37934494018555
36,8,-1,54.7035043504503,50.086992263793945,1.9062043163511488,1.5368755062421162,1.5368755062421162,0.09999999999999999,0.2310686098204719,123.65635087754991,-1,,,,,,,,,
37,8,-1,,,,,,,,,-1,36.0,51.71241760253906,65.15113258361816,1.9537348747253418,1.3579456210136414,1.3579456210136414,0.1,0.22129770517349245,133.6096420288086
37,8,-1,54.548931969536675,49.621268802218964,1.9065044588512845,1.494140413072374,1.494140413072374,0.09999999999999999,0.2414198696613312,122.54918246799045,-1,,,,,,,,,
38,8,-1,,,,,,,,,-1,36.0,51.46566200256348,64.77629661560059,1.9508916735649109,1.4485235810279846,1.4485235810279846,0.1,0.21985671520233155,133.89192581176758
38,8,-1,54.32457054985894,50.259012646145294,1.9091503355238173,1.742987400955624,1.742987400955624,0.09999999999999999,0.2095495806799995,125.44682057698567,-1,,,,,,,,,
39,8,-1,,,,,,,,,-1,39.0,51.32424545288086,64.12839126586914,1.970774531364441,1.2648691833019257,1.2648691833019257,0.1,0.23075364828109743,131.2973747253418
39,8,-1,54.18456607394748,48.95144420199924,1.911032583978441,1.326214035352071,1.326214035352071,0.09999999999999999,0.24815334214104545,119.8707046508789,-1,,,,,,,,,
40,8,-1,,,,,,,,,-1,39.0,51.074275970458984,64.12753868103027,1.9746257066726685,1.329653948545456,1.329653948545456,0.1,0.23379853963851932,131.6924819946289
40,8,-1,54.01598442925347,47.877728356255425,1.9134240812725491,1.3326062493854098,1.3326062493854098,0.09999999999999999,0.27931774059931436,118.67427317301433,-1,,,,,,,,,
41,8,-1,,,,,,,,,-1,39.0,50.80386924743652,64.06847953796387,1.9522533416748047,1.626842349767685,1.626842349767685,0.1,0.21977903842926028,134.31235885620117
41,8,-1,53.770447201199005,49.04394743177626,1.9085751904381647,1.7512210077709622,1.7512210077709622,0.09999999999999999,0.2478271007537842,123.78779432508681,-1,,,,,,,,,
42,8,-1,,,,,,,,,-1,39.0,50.61787414550781,63.57207679748535,1.9488840103149414,1.4957205951213837,1.4957205951213837,0.1,0.22291921377182009,132.30389404296875
42,8,-1,53.55274369981554,49.132136238945854,1.903457072046068,1.5832959016164143,1.5832959016164143,0.09999999999999999,0.22047320471869575,121.93467034233942,-1,,,,,,,,,
43,8,-1,,,,,,,,,-1,43.0,50.446495056152344,61.98230171203613,1.9395883083343506,1.3433848023414612,1.3433848023414612,0.1,0.23503828048706055,128.99656295776367
43,8,-1,53.40926064385308,47.804385079277885,1.9124085240893893,1.183961033821106,1.183961033821106,0.09999999999999999,0.25530414846208355,116.48116726345486,-1,,,,,,,,,
44,8,-1,,,,,,,,,-1,44.0,50.30544090270996,61.53588104248047,1.9608067274093628,1.183292180299759,1.183292180299759,0.1,0.2527216672897339,126.87853240966797
44,8,-1,53.25392405192057,48.74652756585015,1.9095924430423312,1.5256372094154358,1.5256372094154358,0.09999999999999999,0.21673919094933405,120.60067833794488,-1,,,,,,,,,
45,8,-1,,,,,,,,,-1,45.0,50.11757278442383,61.619333267211914,1.969403088092804,1.1729184091091156,1.1729184091091156,0.1,0.2517156958580017,126.64937973022461
45,8,-1,53.134115854899086,47.163303799099396,1.90818985303243,1.4308250347773235,1.4308250347773235,0.09999999999999999,0.25700315369500054,117.99957529703777,-1,,,,,,,,,
46,8,-1,,,,,,,,,-1,45.0,49.748125076293945,62.449520111083984,1.9708183407783508,1.4482516944408417,1.4482516944408417,0.1,0.22759146690368653,129.8537940979004
46,8,-1,52.8709585401747,46.33196703592936,1.9077921840879652,1.320221205552419,1.320221205552419,0.09999999999999999,0.2828601002693176,115.81618414984808,-1,,,,,,,,,
47,8,-1,,,,,,,,,-1,45.0,49.53252410888672,61.43804740905762,1.9631115198135376,1.4327149987220764,1.4327149987220764,0.1,0.22889565229415895,128.46499633789062
47,8,-1,52.57427724202474,47.09431627061632,1.9121634430355496,1.1876171694861517,1.1876171694861517,0.09999999999999999,0.24199898905224274,114.88781823052301,-1,,,,,,,,,
48,8,-1,,,,,,,,,-1,45.0,49.345211029052734,60.91301345825195,1.9597240686416626,1.348364144563675,1.348364144563675,0.1,0.2360418915748596,126.9042739868164
48,8,-1,52.39125739203559,47.11839336819119,1.9112750556733873,1.7235273387697008,1.7235273387697008,0.09999999999999999,0.2475181539853414,120.11486307779948,-1,,,,,,,,,
49,8,-1,,,,,,,,,-1,45.0,49.153364181518555,61.09320068359375,1.9689379334449768,1.3418338000774384,1.3418338000774384,0.1,0.2389829516410828,126.8290023803711
49,8,-1,52.24954477945963,45.598401599460175,1.9176800383461847,1.3811680144733853,1.3811680144733853,0.09999999999999999,0.2808734602398342,115.05369822184245,-1,,,,,,,,,
50,8,-1,,,,,,,,,-1,50.0,49.01934051513672,60.110036849975586,1.9646896123886108,1.2505339682102203,1.2505339682102203,0.1,0.24479806423187256,124.8007583618164
50,8,-1,52.07759263780382,47.0848577287462,1.909781363275316,1.5273676183488634,1.5273676183488634,0.09999999999999999,0.21326033936606514,117.76004876030817,-1,,,,,,,,,
51,8,-1,,,,,,,,,-1,51.0,48.77705764770508,59.70429992675781,1.945723295211792,1.2818810641765594,1.2818810641765594,0.1,0.23725999593734742,124.41297149658203
51,8,-1,51.91299904717339,44.817256927490234,1.9083276457256741,1.136896358595954,1.136896358595954,0.09999999999999999,0.27657740645938456,111.46575334337022,-1,,,,,,,,,
52,8,-1,,,,,,,,,-1,51.0,48.54209899902344,59.593069076538086,1.9554105997085571,1.326685518026352,1.326685518026352,0.1,0.23570464849472045,124.52037811279297
52,8,-1,51.69637001885308,44.61379835340712,1.9073810709847345,1.226081132888794,1.226081132888794,0.09999999999999999,0.27062943776448567,111.89986419677734,-1,,,,,,,,,
53,8,-1,,,,,,,,,-1,53.0,48.33715629577637,59.0373420715332,1.951827883720398,1.3043693006038666,1.3043693006038666,0.1,0.24103074073791506,123.51913070678711
53,8,-1,51.48246426052518,45.102324379814995,1.9124655458662245,1.5727568335003324,1.5727568335003324,0.09999999999999999,0.2631134503417545,115.61847771538629,-1,,,,,,,,,
54,8,-1,,,,,,,,,-1,54.0,48.206356048583984,58.210205078125,1.962826430797577,1.1659348011016846,1.1659348011016846,0.1,0.25047396421432494,121.16475677490234
54,8,-1,51.340142991807724,46.572418212890625,1.9124845133887396,1.3769745760493808,1.3769745760493808,0.09999999999999999,0.20897610319985285,114.88816833496094,-1,,,,,,,,,
55,8,-1,,,,,,,,,-1,55.0,48.009469985961914,57.9185733795166,1.9464904069900513,1.1638486683368683,1.1638486683368683,0.1,0.24505995512008666,120.60111618041992
55,8,-1,51.17638651529948,45.028628243340385,1.919817368189494,1.754553947183821,1.754553947183821,0.09999999999999999,0.24687106874254017,116.96312289767795,-1,,,,,,,,,
56,8,-1,,,,,,,,,-1,55.0,47.819353103637695,58.29916572570801,1.9717463254928589,1.2306254506111145,1.2306254506111145,0.1,0.24079023599624635,121.4598503112793
