epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,68.54213968912761,71.51328404744466,1.488532370991177,0.8044838375515408,0.09999999999999999,0.08443047934108311,149.67322455512152,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,68.13282012939453,85.16836166381836,1.472617506980896,0.7269159555435181,0.1,0.08178729414939881,162.12474060058594
1,8,-1,68.5025151570638,71.16055891248915,1.487449394332038,0.7702930702103509,0.09999999999999999,0.0823306957880656,148.93578932020398,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,67.77383422851562,84.39793014526367,1.4676406979560852,0.7063583433628082,0.1,0.08129155933856964,160.7842788696289
2,8,-1,68.25156741672092,69.62689632839627,1.469087216589186,0.7282249596383836,0.09999999999999999,0.07935634719000922,146.7091590033637,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,66.52691268920898,81.88754272460938,1.4166806936264038,0.7046998739242554,0.1,0.07492889761924745,156.95306396484375
3,8,-1,67.72435930040147,68.26590643988715,1.4331076277626886,0.7221591803762648,0.09999999999999999,0.07828124364217123,144.72324456108942,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,64.75791549682617,79.57056617736816,1.330936074256897,0.8199813365936279,0.1,0.07098067700862884,153.9302215576172
4,8,-1,66.28609890407986,66.67335171169705,1.402397592862447,0.7164962887763977,0.09999999999999999,0.07430061499277753,141.60111321343317,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,60.83946228027344,78.45240020751953,1.3189954161643982,0.908602237701416,0.1,0.06999067962169647,149.76687622070312
5,8,-1,63.87052366468642,64.92635345458984,1.3519055445988972,0.8229776488410102,0.09999999999999999,0.0705692191918691,138.4491255018446,-1,,,,,,,,
6,8,-1,,,,,,,,-1,6.0,59.835004806518555,77.41624450683594,1.320307970046997,0.8886202573776245,0.1,0.06914045810699462,147.5269012451172
6,8,-1,61.58766598171658,63.93275917900933,1.3441459470325046,0.9143136607276069,0.09999999999999999,0.06876867082383899,136.07647196451822,-1,,,,,,,,
7,8,-1,,,,,,,,-1,7.0,59.4153938293457,76.38478660583496,1.2923864722251892,0.7667648196220398,0.1,0.06883186101913452,144.8290557861328
7,8,-1,61.313476986355255,62.88902621799045,1.3471215301089816,0.8048808342880673,0.09999999999999999,0.06697709692849055,133.66541035970053,-1,,,,,,,,
8,8,-1,,,,,,,,-1,8.0,57.82393264770508,75.46841049194336,1.3024003505706787,0.7205774486064911,0.1,0.06800598800182342,141.86852264404297
8,8,-1,60.70159912109375,61.84401194254557,1.333363824420505,0.7153798573546939,0.09999999999999999,0.06759004063076443,131.10035790337457,-1,,,,,,,,
9,8,-1,,,,,,,,-1,9.0,53.70995330810547,74.46846961975098,1.278059959411621,0.9034436941146851,0.1,0.06914232969284058,138.56006240844727
9,8,-1,61.52154752943251,61.319862365722656,1.3243872589535184,0.6208861437108781,0.09999999999999999,0.0669027050336202,130.44156731499567,-1,,,,,,,,
10,8,-1,,,,,,,,-1,10.0,53.20004463195801,73.66618728637695,1.2699024081230164,0.7918345928192139,0.1,0.07074887752532959,136.12522888183594
10,8,-1,56.2543936835395,60.466856214735245,1.3050137493345473,0.9054766760932075,0.09999999999999999,0.06648775272899204,127.14751434326172,-1,,,,,,,,
11,8,-1,,,,,,,,-1,11.0,53.0695858001709,71.71162223815918,1.2342543601989746,0.7151225507259369,0.1,0.06665789783000947,133.23334884643555
11,8,-1,55.797817654079864,59.37760798136393,1.2813420693079631,0.7828567624092102,0.09999999999999999,0.06863155828581917,124.35396999782986,-1,,,,,,,,
12,8,-1,,,,,,,,-1,12.0,50.81040573120117,71.06203842163086,1.246640920639038,0.7574118077754974,0.1,0.07147843539714813,130.76468658447266
12,8,-1,54.845208909776474,58.2984241909451,1.2763854795032077,0.7610159185197618,0.09999999999999999,0.06887936857011584,122.09905836317274,-1,,,,,,,,
13,8,-1,,,,,,,,-1,13.0,49.09633445739746,70.85429000854492,1.238144040107727,0.8394571542739868,0.1,0.07529211044311523,129.65863037109375
13,8,-1,52.52394315931532,57.67114681667752,1.2639787991841633,0.8181685672865974,0.09999999999999999,0.07039853798018562,119.71115197075738,-1,,,,,,,,
14,8,-1,,,,,,,,-1,14.0,47.29754638671875,68.78540992736816,1.2156740427017212,0.9290676116943359,0.1,0.0741111695766449,126.66342163085938
14,8,-1,53.60612063937717,57.01107533772787,1.2554617193010118,0.8022944132486979,0.09999999999999999,0.06969540781444973,119.96529642740886,-1,,,,,,,,
15,8,-1,,,,,,,,-1,15.0,48.6209602355957,67.49833679199219,1.2079051733016968,0.7146995663642883,0.1,0.07565900087356568,124.54986190795898
15,8,-1,52.642484452989365,56.02238210042318,1.2523090971840753,0.8061654633945889,0.09999999999999999,0.06953534152772693,118.04836697048611,-1,,,,,,,,
16,8,-1,,,,,,,,-1,16.0,46.96649742126465,66.32041358947754,1.178095519542694,0.6303935348987579,0.1,0.07915976941585541,120.84810638427734
16,8,-1,52.694762759738495,55.07318115234375,1.2343145741356745,0.6975955963134766,0.09999999999999999,0.07277847064865961,116.05099232991536,-1,,,,,,,,
17,8,-1,,,,,,,,-1,17.0,46.3462028503418,65.21992683410645,1.1637347340583801,0.5165792405605316,0.1,0.08193787932395935,117.97759628295898
17,8,-1,51.30481719970703,54.00980080498589,1.219705171055264,0.7414666414260864,0.09999999999999999,0.07457665999730428,114.02356465657552,-1,,,,,,,,
18,8,-1,,,,,,,,-1,18.0,45.144081115722656,64.3448657989502,1.1587398648262024,0.5575962066650391,0.1,0.08771379292011261,116.31136322021484
18,8,-1,49.27055231730143,53.583405600653755,1.2074551317426894,0.6866231891844008,0.09999999999999999,0.0815791858567132,111.00922478569879,-1,,,,,,,,
19,8,-1,,,,,,,,-1,19.0,43.9165153503418,62.7428092956543,1.1643498539924622,0.710281252861023,0.1,0.08419972360134126,115.01068496704102
19,8,-1,50.59423531426324,52.11444091796875,1.1979614628685846,0.6970558332072364,0.09999999999999999,0.08155772288640341,110.95875634087457,-1,,,,,,,,
20,8,-1,,,,,,,,-1,20.0,42.741851806640625,61.38975715637207,1.1247735619544983,0.592927873134613,0.1,0.09248086512088777,111.27814102172852
20,8,-1,48.06137381659614,51.61756134033203,1.2028693093193903,0.729935434129503,0.09999999999999999,0.0776638064119551,108.25882127549913,-1,,,,,,,,
21,8,-1,,,,,,,,-1,21.0,41.7989444732666,59.96932792663574,1.0881254076957703,0.5704873353242874,0.1,0.08905117213726044,108.65032196044922
21,8,-1,49.52858352661133,50.652914683024086,1.18151945537991,0.7369896935092078,0.09999999999999999,0.08307942218250698,108.81599511040582,-1,,,,,,,,
22,8,-1,,,,,,,,-1,22.0,41.28702926635742,58.86096954345703,1.0792253017425537,0.6106561124324799,0.1,0.09146176874637604,107.42524719238281
22,8,-1,46.31067827012804,49.45017009311252,1.1719763543870714,0.7250689334339566,0.09999999999999999,0.07866198155615063,104.26217736138238,-1,,,,,,,,
23,8,-1,,,,,,,,-1,22.0,41.72210502624512,58.23078918457031,1.1118083000183105,0.644076943397522,0.1,0.08994316756725312,107.59541320800781
23,8,-1,47.526515536838104,48.48367267184787,1.160058445400662,0.7203263872199588,0.09999999999999999,0.08704145815637378,104.46055263943143,-1,,,,,,,,
24,8,-1,,,,,,,,-1,24.0,41.4921932220459,56.63166427612305,1.0870670676231384,0.533380851149559,0.1,0.09685816764831544,104.6415901184082
24,8,-1,46.91894997490777,48.29379908243815,1.1725628111097548,0.8015466133753458,0.09999999999999999,0.07544908854696487,104.47622850206163,-1,,,,,,,,
25,8,-1,,,,,,,,-1,25.0,41.942413330078125,55.49306869506836,1.0745524168014526,0.5344974398612976,0.1,0.09956735968589783,103.95457458496094
25,8,-1,46.04583316379123,46.791346867879234,1.1503153112199571,0.7185136245356666,0.09999999999999999,0.08515860968165928,101.2577879163954,-1,,,,,,,,
26,8,-1,,,,,,,,-1,26.0,40.05134963989258,54.00410270690918,1.0764697790145874,0.5640939176082611,0.1,0.09731506109237671,100.87017440795898
26,8,-1,47.15592532687717,45.179389317830406,1.1282600031958685,0.645351317193773,0.09999999999999999,0.08836106326844959,100.00544823540582,-1,,,,,,,,
27,8,-1,,,,,,,,-1,26.0,41.87184143066406,52.43029594421387,1.0832639336585999,0.5747857838869095,0.1,0.09696156978607179,101.23021697998047
27,8,-1,44.73887676662869,44.38313844468858,1.1176646682951186,0.8049809866481357,0.09999999999999999,0.0881579922305213,98.37764570448134,-1,,,,,,,,
28,8,-1,,,,,,,,-1,28.0,40.487844467163086,52.14370155334473,1.0713555812835693,0.5583569258451462,0.1,0.10274938941001893,99.38922119140625
28,8,-1,47.12746895684136,43.35831154717339,1.123739070362515,0.6996327307489183,0.09999999999999999,0.08362979955143397,98.6894777086046,-1,,,,,,,,
29,8,-1,,,,,,,,-1,29.0,40.08335494995117,49.94963455200195,1.0656589269638062,0.5133219808340073,0.1,0.10344857871532441,96.3353157043457
29,8,-1,44.715563456217446,42.043793784247505,1.1005238029691908,0.7593732178211212,0.09999999999999999,0.09074762529797026,95.54436153835721,-1,,,,,,,,
30,8,-1,,,,,,,,-1,29.0,40.42607879638672,49.59988594055176,1.0454331636428833,0.5654461979866028,0.1,0.10052435696125031,96.82638549804688
30,8,-1,45.07502237955729,40.9536124335395,1.1030529075198703,0.737772266070048,0.09999999999999999,0.08653692934248183,94.59594641791449,-1,,,,,,,,
31,8,-1,,,,,,,,-1,31.0,39.6329402923584,46.93209457397461,1.0282006859779358,0.5527821034193039,0.1,0.1047308474779129,93.22578430175781
31,8,-1,44.24760945638021,39.452757941352,1.0851634078555636,0.6826860076851315,0.09999999999999999,0.09155401322576735,91.70394558376736,-1,,,,,,,,
32,8,-1,,,,,,,,-1,32.0,39.053361892700195,45.49296951293945,1.0267272293567657,0.5760920196771622,0.1,0.11142355799674988,91.44540023803711
32,8,-1,45.112372080485024,37.866996977064346,1.0732529362042744,0.733674450053109,0.09999999999999999,0.10406517386436463,91.4934310913086,-1,,,,,,,,
33,8,-1,,,,,,,,-1,33.0,38.72733116149902,43.65780448913574,0.9948935806751251,0.5132329761981964,0.1,0.12210279703140259,88.63446044921875
33,8,-1,42.44536802503798,37.81992933485243,1.0838516685697768,0.7447662320401933,0.09999999999999999,0.0882995088895162,88.88511064317491,-1,,,,,,,,
34,8,-1,,,,,,,,-1,34.0,38.15090560913086,42.46021842956543,0.9867534041404724,0.48487424850463867,0.1,0.14021883606910707,86.58684158325195
34,8,-1,42.92028554280599,36.39522785610623,1.0452112754185994,0.7227773567040762,0.09999999999999999,0.09716902507676022,87.68566979302301,-1,,,,,,,,
35,8,-1,,,,,,,,-1,35.0,36.331764221191406,40.65925216674805,0.975862979888916,0.5194963812828064,0.1,0.12237406373023987,83.28421783447266
35,8,-1,42.92292785644531,34.62730153401693,1.0267151527934604,0.7438589135805765,0.09999999999999999,0.11623187330034043,86.1317647298177,-1,,,,,,,,
36,8,-1,,,,,,,,-1,35.0,38.828460693359375,39.66648769378662,0.9615422189235687,0.43425919115543365,0.1,0.13198416233062746,83.93106842041016
36,8,-1,40.557940589057075,34.29764196607802,1.0358088215192158,0.7953585651185777,0.09999999999999999,0.09211754997571309,83.93709648980035,-1,,,,,,,,
37,8,-1,,,,,,,,-1,37.0,35.520965576171875,37.74419689178467,0.9288323521614075,0.5157267302274704,0.1,0.13740955591201784,79.48867797851562
37,8,-1,39.231847551133896,32.42412503560384,1.0056408709949918,0.5791567431555854,0.09999999999999999,0.11432775855064392,78.56751081678603,-1,,,,,,,,
38,8,-1,,,,,,,,-1,38.0,34.63581466674805,36.6759147644043,0.9299132823944092,0.575715035200119,0.1,0.14174838066101075,78.14054107666016
38,8,-1,42.21614795260959,31.350085152520073,1.0021470917595758,0.8052918248706393,0.09999999999999999,0.11545031468073527,82.73674858940973,-1,,,,,,,,
39,8,-1,,,,,,,,-1,39.0,36.10534858703613,34.53892803192139,0.9153063595294952,0.44208894670009613,0.1,0.14867183566093445,76.12914276123047
39,8,-1,37.68508614434136,29.702677408854168,1.0071769422954984,0.7590954071945615,0.09999999999999999,0.11669912404484221,76.10259162055121,-1,,,,,,,,
40,8,-1,,,,,,,,-1,40.0,33.46815013885498,33.75151824951172,0.8922881782054901,0.5232573747634888,0.1,0.14154906868934633,73.4860725402832
40,8,-1,42.71482806735568,28.386520385742188,0.9873083763652377,0.7046519849035475,0.09999999999999999,0.1274546947744158,79.26263173421223,-1,,,,,,,,
41,8,-1,,,,,,,,-1,40.0,35.110246658325195,32.27260112762451,0.8901425004005432,0.5131773799657822,0.1,0.1485168218612671,73.55328369140625
41,8,-1,39.338046603732636,27.566394382052952,0.9842631883091397,0.7552544905079736,0.09999999999999999,0.1237965656651391,75.56504567464192,-1,,,,,,,,
42,8,-1,,,,,,,,-1,42.0,34.37460708618164,31.474306106567383,0.8980641067028046,0.5498706698417664,0.1,0.1595238447189331,72.40521240234375
42,8,-1,38.75389522976346,26.384242057800293,0.9609954820738899,0.6947999861505296,0.09999999999999999,0.13041988015174866,73.17755126953125,-1,,,,,,,,
43,8,-1,,,,,,,,-1,43.0,32.55292510986328,29.670564651489258,0.8812788426876068,0.5709235817193985,0.1,0.15393890738487245,68.96794128417969
